"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","25","13","11","13","0.675675675675676","0.368932393686311",NA,NA,NA,"k: 12"
"2","KNN.bc","20","18","12","18","0.571428571428571","0.21320071635561",NA,NA,NA,"k: 17"
"3","KNN.bc","23","15","4","15","0.707692307692308","0.522364529266804",NA,NA,NA,"k: 18"
"4","KNN.bc","19","18","4","18","0.633333333333333","0.442643042395244",NA,NA,NA,"k: 20"
"5","KNN.bc","18","19","9","19","0.5625","0.260023114193049",NA,NA,NA,"k: 20"
"6","KNN.bc","22","15","3","15","0.709677419354839","0.546877857643418",NA,NA,NA,"k: 17"
"7","KNN.bc","26","11","7","11","0.742857142857143","0.516540885435685",NA,NA,NA,"k: 18"
"8","KNN.bc","22","15","6","15","0.676923076923077","0.445822570060282",NA,NA,NA,"k: 19"
"9","KNN.bc","22","15","5","15","0.6875","0.477219421937694",NA,NA,NA,"k: 15"
"10","KNN.bc","25","12","6","12","0.735294117647059","0.520401483881538",NA,NA,NA,"k: 18"
"11","KNN.l2","22","16","11","16","0.619718309859155","0.292012530261044",NA,NA,NA,"k: 18"
"12","KNN.l2","23","15","8","15","0.666666666666667","0.401609664451249",NA,NA,NA,"k: 16"
"13","KNN.l2","23","15","5","15","0.696969696969697","0.490990253030983",NA,NA,NA,"k: 15"
"14","KNN.l2","21","16","6","16","0.65625","0.426704597650132",NA,NA,NA,"k: 12"
"15","KNN.l2","19","18","10","18","0.575757575757576","0.257023059141735",NA,NA,NA,"k: 20"
"16","KNN.l2","21","16","6","16","0.65625","0.426704597650132",NA,NA,NA,"k: 16"
"17","KNN.l2","23","14","5","14","0.707692307692308","0.501550391317818",NA,NA,NA,"k: 17"
"18","KNN.l2","19","18","3","18","0.644067796610169","0.473049916791266",NA,NA,NA,"k: 18"
"19","KNN.l2","17","20","6","20","0.566666666666667","0.321176439360581",NA,NA,NA,"k: 17"
"20","KNN.l2","25","12","6","12","0.735294117647059","0.520401483881538",NA,NA,NA,"k: 16"
"21","KNN.pc.uni.10","22","16","13","16","0.602739726027397","0.237583654806805",NA,NA,NA,"k: 19"
"22","KNN.pc.uni.10","21","17","11","17","0.6","0.266500895444513",NA,NA,NA,"k: 19"
"23","KNN.pc.uni.10","27","11","6","11","0.76056338028169","0.557478466861994",NA,NA,NA,"k: 16"
"24","KNN.pc.uni.10","13","24","4","24","0.481481481481482","0.293863049432026",NA,NA,NA,"k: 19"
"25","KNN.pc.uni.10","22","15","13","15","0.611111111111111","0.253029801548057",NA,NA,NA,"k: 15"
"26","KNN.pc.uni.10","24","13","8","13","0.695652173913043","0.442872623493985",NA,NA,NA,"k: 15"
"27","KNN.pc.uni.10","24","13","10","13","0.676056338028169","0.379628301182648",NA,NA,NA,"k: 14"
"28","KNN.pc.uni.10","21","16","5","16","0.666666666666667","0.452910813657838",NA,NA,NA,"k: 19"
"29","KNN.pc.uni.10","20","17","5","17","0.645161290322581","0.428571428571429",NA,NA,NA,"k: 17"
"30","KNN.pc.uni.10","25","12","11","12","0.684931506849315","0.378516649305113",NA,NA,NA,"k: 1"
"31","KNN.pc.uni.12","24","14","14","14","0.631578947368421","0.263157894736842",NA,NA,NA,"k: 19"
"32","KNN.pc.uni.12","23","15","11","15","0.638888888888889","0.317553674414978",NA,NA,NA,"k: 19"
"33","KNN.pc.uni.12","25","13","5","13","0.735294117647059","0.538381902058165",NA,NA,NA,"k: 16"
"34","KNN.pc.uni.12","20","17","4","17","0.655737704918033","0.466517621663857",NA,NA,NA,"k: 19"
"35","KNN.pc.uni.12","16","21","8","21","0.524590163934426","0.237832513005104",NA,NA,NA,"k: 15"
"36","KNN.pc.uni.12","24","13","7","13","0.705882352941176","0.471534350402491",NA,NA,NA,"k: 15"
"37","KNN.pc.uni.12","23","14","11","14","0.647887323943662","0.325395686727984",NA,NA,NA,"k: 14"
"38","KNN.pc.uni.12","20","17","4","17","0.655737704918033","0.461880215351701",NA,NA,NA,"k: 19"
"39","KNN.pc.uni.12","21","16","5","16","0.666666666666667","0.452910813657838",NA,NA,NA,"k: 17"
"40","KNN.pc.uni.12","25","12","11","12","0.684931506849315","0.378516649305113",NA,NA,NA,"k: 1"
"41","KNN.pc.uni.14","23","15","14","15","0.613333333333333","0.236924156921695",NA,NA,NA,"k: 19"
"42","KNN.pc.uni.14","22","16","13","16","0.602739726027397","0.237583654806805",NA,NA,NA,"k: 19"
"43","KNN.pc.uni.14","23","15","5","15","0.696969696969697","0.490990253030983",NA,NA,NA,"k: 16"
"44","KNN.pc.uni.14","18","19","4","19","0.610169491525424","0.418622776813298",NA,NA,NA,"k: 19"
"45","KNN.pc.uni.14","16","21","10","21","0.507936507936508","0.17782777014078",NA,NA,NA,"k: 15"
"46","KNN.pc.uni.14","25","12","6","12","0.735294117647059","0.525692200754998",NA,NA,NA,"k: 15"
"47","KNN.pc.uni.14","24","13","9","13","0.685714285714286","0.407795435870278",NA,NA,NA,"k: 14"
"48","KNN.pc.uni.14","18","19","3","19","0.620689655172414","0.449617986997635",NA,NA,NA,"k: 19"
"49","KNN.pc.uni.14","20","17","5","17","0.645161290322581","0.428571428571429",NA,NA,NA,"k: 17"
"50","KNN.pc.uni.14","27","10","7","10","0.76056338028169","0.54232614454664",NA,NA,NA,"k: 1"
"51","KNN.pc.uni.16","22","16","12","16","0.611111111111111","0.264628062012482",NA,NA,NA,"k: 19"
"52","KNN.pc.uni.16","21","17","10","17","0.608695652173913","0.294513753930916",NA,NA,NA,"k: 19"
"53","KNN.pc.uni.16","23","15","4","15","0.707692307692308","0.522364529266804",NA,NA,NA,"k: 16"
"54","KNN.pc.uni.16","17","20","5","20","0.576271186440678","0.360046828565169",NA,NA,NA,"k: 19"
"55","KNN.pc.uni.16","18","19","8","19","0.571428571428571","0.289904095859759",NA,NA,NA,"k: 15"
"56","KNN.pc.uni.16","24","13","7","13","0.705882352941176","0.471534350402491",NA,NA,NA,"k: 15"
"57","KNN.pc.uni.16","25","12","8","12","0.714285714285714","0.462168160652981",NA,NA,NA,"k: 14"
"58","KNN.pc.uni.16","22","15","4","15","0.698412698412698","0.509524665365068",NA,NA,NA,"k: 19"
"59","KNN.pc.uni.16","23","14","4","14","0.71875","0.533362883342129",NA,NA,NA,"k: 17"
"60","KNN.pc.uni.16","27","10","8","10","0.75","0.514265363862728",NA,NA,NA,"k: 1"
"61","KNN.pc.uni.18","24","14","15","14","0.623376623376623","0.236924156921695",NA,NA,NA,"k: 19"
"62","KNN.pc.uni.18","22","16","11","16","0.619718309859155","0.292012530261044",NA,NA,NA,"k: 19"
"63","KNN.pc.uni.18","26","12","5","12","0.753623188405797","0.562253530231749",NA,NA,NA,"k: 16"
"64","KNN.pc.uni.18","17","20","4","20","0.586206896551724","0.3943938690796",NA,NA,NA,"k: 19"
"65","KNN.pc.uni.18","18","19","8","19","0.571428571428571","0.289904095859759",NA,NA,NA,"k: 15"
"66","KNN.pc.uni.18","24","13","6","13","0.716417910447761","0.500829089755743",NA,NA,NA,"k: 15"
"67","KNN.pc.uni.18","25","12","8","12","0.714285714285714","0.462168160652981",NA,NA,NA,"k: 14"
"68","KNN.pc.uni.18","17","20","5","20","0.576271186440678","0.35478743759345",NA,NA,NA,"k: 19"
"69","KNN.pc.uni.18","22","15","5","15","0.6875","0.477219421937694",NA,NA,NA,"k: 17"
"70","KNN.pc.uni.18","27","10","10","10","0.72972972972973","0.459459459459459",NA,NA,NA,"k: 1"
"71","KNN.pc.uni.2","21","17","17","17","0.552631578947368","0.105263157894737",NA,NA,NA,"k: 19"
"72","KNN.pc.uni.2","19","19","12","19","0.55072463768116","0.187417843410583",NA,NA,NA,"k: 19"
"73","KNN.pc.uni.2","22","16","11","16","0.619718309859155","0.292012530261044",NA,NA,NA,"k: 16"
"74","KNN.pc.uni.2","19","18","9","18","0.584615384615385","0.285975610860671",NA,NA,NA,"k: 19"
"75","KNN.pc.uni.2","19","18","18","18","0.513513513513513","0.0398293029871977",NA,NA,NA,"k: 15"
"76","KNN.pc.uni.2","21","16","9","16","0.626865671641791","0.33751525613974",NA,NA,NA,"k: 15"
"77","KNN.pc.uni.2","27","10","13","10","0.701298701298701","0.379628301182648",NA,NA,NA,"k: 14"
"78","KNN.pc.uni.2","23","14","6","14","0.696969696969697","0.470591052504526",NA,NA,NA,"k: 19"
"79","KNN.pc.uni.2","17","20","11","20","0.523076923076923","0.167183463772606",NA,NA,NA,"k: 17"
"80","KNN.pc.uni.2","24","13","9","13","0.685714285714286","0.407795435870278",NA,NA,NA,"k: 1"
"81","KNN.pc.uni.20","22","16","15","16","0.586666666666667","0.18427434427243",NA,NA,NA,"k: 19"
"82","KNN.pc.uni.20","22","16","11","16","0.619718309859155","0.292012530261044",NA,NA,NA,"k: 19"
"83","KNN.pc.uni.20","27","11","4","11","0.782608695652174","0.615801485491916",NA,NA,NA,"k: 16"
"84","KNN.pc.uni.20","17","20","5","20","0.576271186440678","0.360046828565169",NA,NA,NA,"k: 19"
"85","KNN.pc.uni.20","17","20","6","20","0.566666666666667","0.326969773476626",NA,NA,NA,"k: 15"
"86","KNN.pc.uni.20","24","13","5","13","0.727272727272727","0.530840238625118",NA,NA,NA,"k: 15"
"87","KNN.pc.uni.20","23","14","11","14","0.647887323943662","0.325395686727984",NA,NA,NA,"k: 14"
"88","KNN.pc.uni.20","18","19","5","19","0.6","0.379572155607959",NA,NA,NA,"k: 19"
"89","KNN.pc.uni.20","21","16","6","16","0.65625","0.421075960533259",NA,NA,NA,"k: 17"
"90","KNN.pc.uni.20","27","10","7","10","0.76056338028169","0.54232614454664",NA,NA,NA,"k: 1"
"91","KNN.pc.uni.4","23","15","13","15","0.621621621621622","0.263523138347365",NA,NA,NA,"k: 19"
"92","KNN.pc.uni.4","23","15","10","15","0.647887323943662","0.345105717581234",NA,NA,NA,"k: 19"
"93","KNN.pc.uni.4","31","7","14","7","0.746987951807229","0.455157619711416",NA,NA,NA,"k: 16"
"94","KNN.pc.uni.4","17","20","6","20","0.566666666666667","0.326969773476626",NA,NA,NA,"k: 19"
"95","KNN.pc.uni.4","18","19","9","19","0.5625","0.260023114193049",NA,NA,NA,"k: 15"
"96","KNN.pc.uni.4","20","17","9","17","0.606060606060606","0.311786495038412",NA,NA,NA,"k: 15"
"97","KNN.pc.uni.4","24","13","11","13","0.666666666666667","0.351865775274498",NA,NA,NA,"k: 14"
"98","KNN.pc.uni.4","20","17","5","17","0.645161290322581","0.428571428571429",NA,NA,NA,"k: 19"
"99","KNN.pc.uni.4","19","18","6","18","0.612903225806452","0.371428571428571",NA,NA,NA,"k: 17"
"100","KNN.pc.uni.4","21","16","11","16","0.608695652173913","0.27277236279499",NA,NA,NA,"k: 1"
"101","KNN.pc.uni.6","22","16","15","16","0.586666666666667","0.18427434427243",NA,NA,NA,"k: 19"
"102","KNN.pc.uni.6","22","16","8","16","0.647058823529412","0.376867331440716",NA,NA,NA,"k: 19"
"103","KNN.pc.uni.6","25","13","6","13","0.72463768115942","0.508705574971583",NA,NA,NA,"k: 16"
"104","KNN.pc.uni.6","23","14","11","14","0.647887323943662","0.333574492024708",NA,NA,NA,"k: 19"
"105","KNN.pc.uni.6","23","14","10","14","0.657142857142857","0.361040781823771",NA,NA,NA,"k: 15"
"106","KNN.pc.uni.6","21","16","8","16","0.636363636363636","0.366549930935088",NA,NA,NA,"k: 15"
"107","KNN.pc.uni.6","25","12","13","12","0.666666666666667","0.324442842261525",NA,NA,NA,"k: 14"
"108","KNN.pc.uni.6","22","15","6","15","0.676923076923077","0.445822570060282",NA,NA,NA,"k: 19"
"109","KNN.pc.uni.6","21","16","7","16","0.646153846153846","0.390094748802747",NA,NA,NA,"k: 17"
"110","KNN.pc.uni.6","26","11","7","11","0.742857142857143","0.516540885435685",NA,NA,NA,"k: 1"
"111","KNN.pc.uni.8","22","16","17","16","0.571428571428572","0.131624531623164",NA,NA,NA,"k: 19"
"112","KNN.pc.uni.8","23","15","10","15","0.647887323943662","0.345105717581234",NA,NA,NA,"k: 19"
"113","KNN.pc.uni.8","26","12","4","12","0.764705882352941","0.592220092263982",NA,NA,NA,"k: 16"
"114","KNN.pc.uni.8","18","19","5","19","0.6","0.384806407935935",NA,NA,NA,"k: 19"
"115","KNN.pc.uni.8","19","18","10","18","0.575757575757576","0.257023059141735",NA,NA,NA,"k: 15"
"116","KNN.pc.uni.8","23","14","10","14","0.657142857142857","0.361040781823771",NA,NA,NA,"k: 15"
"117","KNN.pc.uni.8","25","12","9","12","0.704225352112676","0.433860915637312",NA,NA,NA,"k: 14"
"118","KNN.pc.uni.8","22","15","7","15","0.666666666666667","0.4152273992687",NA,NA,NA,"k: 19"
"119","KNN.pc.uni.8","19","18","8","18","0.59375","0.30878903772439",NA,NA,NA,"k: 17"
"120","KNN.pc.uni.8","26","11","5","11","0.764705882352941","0.575180587448016",NA,NA,NA,"k: 1"
"121","KNN.unifrac","22","16","10","16","0.628571428571429","0.319801074533416",NA,NA,NA,"k: 19"
"122","KNN.unifrac","20","18","10","18","0.588235294117647","0.269190951029083",NA,NA,NA,"k: 19"
"123","KNN.unifrac","25","13","3","13","0.757575757575758","0.600099198148979",NA,NA,NA,"k: 16"
"124","KNN.unifrac","15","22","4","22","0.535714285714286","0.34502373849014",NA,NA,NA,"k: 19"
"125","KNN.unifrac","18","19","5","19","0.6","0.384806407935935",NA,NA,NA,"k: 15"
"126","KNN.unifrac","21","16","5","16","0.666666666666667","0.458018584438228",NA,NA,NA,"k: 15"
"127","KNN.unifrac","22","15","7","15","0.666666666666667","0.4152273992687",NA,NA,NA,"k: 14"
"128","KNN.unifrac","17","20","2","20","0.607142857142857","0.464016168667309",NA,NA,NA,"k: 19"
"129","KNN.unifrac","22","15","4","15","0.698412698412698","0.509524665365068",NA,NA,NA,"k: 17"
"130","KNN.unifrac","28","9","14","9","0.708860759493671","0.381881307912987",NA,NA,NA,"k: 1"
"131","RF.bc","25","13","8","13","0.704225352112676","0.451292092221614",NA,NA,NA,""
"132","RF.bc","26","12","8","12","0.722222222222222","0.476330511622467",NA,NA,NA,""
"133","RF.bc","32","6","5","6","0.853333333333333","0.710772470765086",NA,NA,NA,""
"134","RF.bc","26","11","7","11","0.742857142857143","0.522219702280812",NA,NA,NA,""
"135","RF.bc","24","13","12","13","0.657534246575343","0.333096169779058",NA,NA,NA,""
"136","RF.bc","29","8","6","8","0.805555555555555","0.627228803837436",NA,NA,NA,""
"137","RF.bc","25","12","9","12","0.704225352112676","0.433860915637312",NA,NA,NA,""
"138","RF.bc","26","11","8","11","0.732394366197183","0.488093530091976",NA,NA,NA,""
"139","RF.bc","26","11","8","11","0.732394366197183","0.488093530091976",NA,NA,NA,""
"140","RF.bc","29","8","7","8","0.794520547945206","0.594811877479463",NA,NA,NA,""
"141","RF.l2","23","15","13","15","0.621621621621622","0.263523138347365",NA,NA,NA,""
"142","RF.l2","24","14","15","14","0.623376623376623","0.236924156921695",NA,NA,NA,""
"143","RF.l2","31","7","8","7","0.805194805194805","0.605472845466555",NA,NA,NA,""
"144","RF.l2","25","12","8","12","0.714285714285714","0.468493395461798",NA,NA,NA,""
"145","RF.l2","21","16","12","16","0.6","0.253588168185744",NA,NA,NA,""
"146","RF.l2","22","15","4","15","0.698412698412698","0.514056747297717",NA,NA,NA,""
"147","RF.l2","27","10","13","10","0.701298701298701","0.379628301182648",NA,NA,NA,""
"148","RF.l2","25","12","8","12","0.714285714285714","0.462168160652981",NA,NA,NA,""
"149","RF.l2","26","11","9","11","0.722222222222222","0.460132167666652",NA,NA,NA,""
"150","RF.l2","31","6","9","6","0.805194805194805","0.596558759001305",NA,NA,NA,""
"151","RF.otu","25","13","18","13","0.617283950617284","0.185826155620665",NA,NA,NA,""
"152","RF.otu","30","8","11","8","0.759493670886076","0.501565493481032",NA,NA,NA,""
"153","RF.otu","33","5","6","5","0.857142857142857","0.710772470765086",NA,NA,NA,""
"154","RF.otu","27","10","6","10","0.771428571428571","0.575946009099825",NA,NA,NA,""
"155","RF.otu","23","14","10","14","0.657142857142857","0.361040781823771",NA,NA,NA,""
"156","RF.otu","26","11","7","11","0.742857142857143","0.522219702280812",NA,NA,NA,""
"157","RF.otu","30","7","9","7","0.789473684210526","0.568398560058805",NA,NA,NA,""
"158","RF.otu","27","10","6","10","0.771428571428571","0.570913610218389",NA,NA,NA,""
"159","RF.otu","31","6","4","6","0.861111111111111","0.730798148647035",NA,NA,NA,""
"160","RF.otu","28","9","7","9","0.777777777777778","0.568398560058805",NA,NA,NA,""
"161","RF.pc.uni.10","24","14","12","14","0.648648648648649","0.316227766016838",NA,NA,NA,""
"162","RF.pc.uni.10","26","12","8","12","0.722222222222222","0.476330511622467",NA,NA,NA,""
"163","RF.pc.uni.10","31","7","7","7","0.81578947368421","0.631578947368421",NA,NA,NA,""
"164","RF.pc.uni.10","28","9","6","9","0.788732394366197","0.601434094828274",NA,NA,NA,""
"165","RF.pc.uni.10","27","10","9","10","0.73972602739726","0.493238559095914",NA,NA,NA,""
"166","RF.pc.uni.10","24","13","7","13","0.705882352941176","0.471534350402491",NA,NA,NA,""
