"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 5"
"2","KNN.bc","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 10"
"3","KNN.bc","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 7"
"4","KNN.bc","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 9"
"5","KNN.bc","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 6"
"6","KNN.bc","16","3","3","3","0.842105263157895","-0.157894736842105",NA,NA,NA,"k: 5"
"7","KNN.bc","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 12"
"8","KNN.bc","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 7"
"9","KNN.bc","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 9"
"10","KNN.bc","19","0","1","0","0.974358974358974","0.689202437604511",NA,NA,NA,"k: 8"
"11","KNN.bc","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 8"
"12","KNN.bc","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 9"
"13","KNN.bc","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 8"
"14","KNN.bc","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 7"
"15","KNN.bc","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 7"
"16","KNN.bc","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 9"
"17","KNN.bc","19","0","2","0","0.95","0.549169647365276",NA,NA,NA,"k: 8"
"18","KNN.bc","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 7"
"19","KNN.bc","17","2","2","2","0.894736842105263","-0.105263157894737",NA,NA,NA,"k: 8"
"20","KNN.bc","19","0","1","0","0.974358974358974","0.689202437604511",NA,NA,NA,"k: 9"
"21","KNN.l2","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 8"
"22","KNN.l2","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 10"
"23","KNN.l2","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 9"
"24","KNN.l2","18","2","3","2","0.878048780487805","-0.119522860933439",NA,NA,NA,"k: 6"
"25","KNN.l2","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 10"
"26","KNN.l2","16","3","3","3","0.842105263157895","-0.157894736842105",NA,NA,NA,"k: 5"
"27","KNN.l2","19","0","2","0","0.95","0.549169647365276",NA,NA,NA,"k: 13"
"28","KNN.l2","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 9"
"29","KNN.l2","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 15"
"30","KNN.l2","19","0","1","0","0.974358974358974","0.689202437604511",NA,NA,NA,"k: 11"
"31","KNN.l2","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 9"
"32","KNN.l2","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 8"
"33","KNN.l2","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 9"
"34","KNN.l2","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 11"
"35","KNN.l2","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 13"
"36","KNN.l2","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 11"
"37","KNN.l2","19","0","2","0","0.95","0.549169647365276",NA,NA,NA,"k: 7"
"38","KNN.l2","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 10"
"39","KNN.l2","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 14"
"40","KNN.l2","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 13"
"41","KNN.pc.uni.10","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 5"
"42","KNN.pc.uni.10","21","0","2","0","0.954545454545454","0.551677284367371",NA,NA,NA,"k: 15"
"43","KNN.pc.uni.10","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 8"
"44","KNN.pc.uni.10","20","0","1","0","0.975609756097561","0.796819072889596",NA,NA,NA,"k: 5"
"45","KNN.pc.uni.10","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 16"
"46","KNN.pc.uni.10","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 9"
"47","KNN.pc.uni.10","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 14"
"48","KNN.pc.uni.10","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 7"
"49","KNN.pc.uni.10","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 7"
"50","KNN.pc.uni.10","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 16"
"51","KNN.pc.uni.10","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 7"
"52","KNN.pc.uni.10","19","2","2","2","0.904761904761905","0.238095238095238",NA,NA,NA,"k: 17"
"53","KNN.pc.uni.10","18","2","1","2","0.923076923076923","0.503496546095228",NA,NA,NA,"k: 9"
"54","KNN.pc.uni.10","19","1","2","1","0.926829268292683","0.338648105978078",NA,NA,NA,"k: 11"
"55","KNN.pc.uni.10","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 8"
"56","KNN.pc.uni.10","17","2","3","2","0.871794871794872","-0.125656172487509",NA,NA,NA,"k: 11"
"57","KNN.pc.uni.10","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 7"
"58","KNN.pc.uni.10","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 9"
"59","KNN.pc.uni.10","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 9"
"60","KNN.pc.uni.10","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 17"
"61","KNN.pc.uni.12","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 5"
"62","KNN.pc.uni.12","21","0","2","0","0.954545454545454","0.551677284367371",NA,NA,NA,"k: 15"
"63","KNN.pc.uni.12","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 8"
"64","KNN.pc.uni.12","19","1","3","1","0.904761904761905","-0.082572282384477",NA,NA,NA,"k: 5"
"65","KNN.pc.uni.12","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 16"
"66","KNN.pc.uni.12","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 9"
"67","KNN.pc.uni.12","19","0","2","0","0.95","0.549169647365276",NA,NA,NA,"k: 14"
"68","KNN.pc.uni.12","18","1","2","1","0.923076923076923","0.335083126633356",NA,NA,NA,"k: 7"
"69","KNN.pc.uni.12","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 7"
"70","KNN.pc.uni.12","19","0","1","0","0.974358974358974","0.689202437604511",NA,NA,NA,"k: 16"
"71","KNN.pc.uni.12","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 7"
"72","KNN.pc.uni.12","21","0","2","0","0.954545454545454","0.551677284367371",NA,NA,NA,"k: 17"
"73","KNN.pc.uni.12","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 9"
"74","KNN.pc.uni.12","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 11"
"75","KNN.pc.uni.12","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 8"
"76","KNN.pc.uni.12","18","1","3","1","0.9","-0.086710996952412",NA,NA,NA,"k: 11"
"77","KNN.pc.uni.12","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 7"
"78","KNN.pc.uni.12","19","0","3","0","0.926829268292683","NaN",NA,NA,NA,"k: 9"
"79","KNN.pc.uni.12","19","0","2","0","0.95","NaN",NA,NA,NA,"k: 9"
"80","KNN.pc.uni.12","19","0","1","0","0.974358974358974","0.689202437604511",NA,NA,NA,"k: 17"
"81","KNN.pc.uni.14","21","0","3","0","0.933333333333333","NaN",NA,NA,NA,"k: 5"
"82","KNN.pc.uni.14","21","0","2","0","0.954545454545454","0.551677284367371",NA,NA,NA,"k: 15"
"83","KNN.pc.uni.14","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 8"
"84","KNN.pc.uni.14","20","0","3","0","0.930232558139535","NaN",NA,NA,NA,"k: 5"
"85","KNN.pc.uni.14","20","0","2","0","0.952380952380952","0.55048188256318",NA,NA,NA,"k: 16"
