"","method","TP","TN","FP","FN","performance","best.model"
"76","SVM.bc","19","0","3","0",NA,"kernel: rbfdot C: 8"
"77","SVM.bc","19","0","3","0",NA,"kernel: rbfdot C: 8"
"78","SVM.bc","18","0","3","1","-0.086710996952412","kernel: rbfdot C: 4"
"79","SVM.bc","19","0","2","0",NA,"kernel: matrix C: 0.25"
"80","SVM.bc","19","0","2","0",NA,"kernel: matrix C: 0.25"
"81","SVM.l2","21","0","3","0",NA,"kernel: vanilladot C: 0.25"
"82","SVM.l2","21","0","3","0",NA,"kernel: vanilladot C: 0.25"
"83","SVM.l2","20","0","3","0",NA,"kernel: rbfdot C: 0.25"
"84","SVM.l2","20","0","3","0",NA,"kernel: rbfdot C: 0.25"
"85","SVM.l2","20","0","3","0",NA,"kernel: rbfdot C: 0.25"
"86","SVM.l2","18","0","3","1","-0.086710996952412","kernel: vanilladot C: 0.25"
"87","SVM.l2","19","0","3","0",NA,"kernel: vanilladot C: 0.25"
"88","SVM.l2","19","0","3","0",NA,"kernel: rbfdot C: 4"
"89","SVM.l2","19","0","2","0",NA,"kernel: vanilladot C: 0.25"
"90","SVM.l2","19","0","2","0",NA,"kernel: rbfdot C: 0.25"
"91","SVM.unifrac","21","0","3","0",NA,"kernel: vanilladot C: 0.25"
"92","SVM.unifrac","20","2","1","1","0.619047619047619","kernel: vanilladot C: 0.25"
"93","SVM.unifrac","20","0","3","0",NA,"kernel: vanilladot C: 0.25"
"94","SVM.unifrac","20","0","3","0",NA,"kernel: matrix C: 0.25"
"95","SVM.unifrac","20","1","2","0","0.55048188256318","kernel: vanilladot C: 0.25"
"96","SVM.unifrac","18","0","3","1","-0.086710996952412","kernel: vanilladot C: 0.25"
"97","SVM.unifrac","19","0","3","0",NA,"kernel: vanilladot C: 0.25"
"98","SVM.unifrac","19","0","3","0",NA,"kernel: vanilladot C: 0.25"
"99","SVM.unifrac","19","0","2","0",NA,"kernel: matrix C: 0.25"
"100","SVM.unifrac","19","0","2","0",NA,"kernel: vanilladot C: 0.25"
