"","method","TP","TN","FP","FN","f1","matthews","class-wise","auc","observed_over_baseline","best_model"
"1","KNN.bc","20","1","13","1","0.740740740740741","-0.136963567268886",NA,NA,NA,"k: 7"
"2","KNN.bc","13","0","21","0","0.553191489361702","NaN",NA,NA,NA,"k: 20"
"3","KNN.bc","20","1","12","1","0.754716981132076","0.0605227532668802",NA,NA,NA,"k: 16"
"4","KNN.bc","13","0","21","0","0.553191489361702","NaN",NA,NA,NA,"k: 19"
"5","KNN.bc","21","0","11","0","0.792452830188679","0.317744454651121",NA,NA,NA,"k: 13"
"6","KNN.bc","18","3","12","3","0.705882352941176","-0.239045721866879",NA,NA,NA,"k: 13"
"7","KNN.bc","12","0","21","0","0.533333333333333","NaN",NA,NA,NA,"k: 18"
"8","KNN.bc","18","3","12","3","0.705882352941176","-0.239045721866879",NA,NA,NA,"k: 19"
"9","KNN.bc","19","2","12","2","0.730769230769231","-0.192006144294928",NA,NA,NA,"k: 19"
"10","KNN.bc","20","1","12","1","0.754716981132076","-0.133630620956212",NA,NA,NA,"k: 19"
"11","KNN.euc","18","3","10","3","0.73469387755102","0.112066362936105",NA,NA,NA,"k: 15"
"12","KNN.euc","16","5","10","5","0.680851063829787","-0.0083929957783074",NA,NA,NA,"k: 11"
"13","KNN.euc","17","4","11","4","0.693877551020408","-0.0466943178900438",NA,NA,NA,"k: 10"
"14","KNN.euc","18","3","11","3","0.72","0.0150784232613527",NA,NA,NA,"k: 20"
"15","KNN.euc","20","1","11","1","0.769230769230769","0.182001597552544",NA,NA,NA,"k: 20"
"16","KNN.euc","20","1","10","1","0.784313725490196","0.199204768222399",NA,NA,NA,"k: 15"
"17","KNN.euc","19","2","11","2","0.745098039215686","-0.0199204768222399",NA,NA,NA,"k: 20"
"18","KNN.euc","15","6","7","6","0.697674418604651","0.133630620956212",NA,NA,NA,"k: 14"
"19","KNN.euc","14","7","9","7","0.636363636363636","-0.0872278375988647",NA,NA,NA,"k: 15"
"20","KNN.euc","18","3","9","3","0.75","0.133630620956212",NA,NA,NA,"k: 18"
"21","KNN.pc.uni","13","8","7","8","0.634146341463415","0.0795723788422881",NA,NA,NA,"k: 10 pc.k: "
"22","KNN.pc.uni","13","0","21","0","0.553191489361702","NaN",NA,NA,NA,"k: 12 pc.k: "
"23","KNN.pc.uni","15","6","4","6","0.75","0.397941493239449",NA,NA,NA,"k: 11 pc.k: "
"24","KNN.pc.uni","12","9","5","9","0.631578947368421","0.181568259800641",NA,NA,NA,"k: 17 pc.k: "
"25","KNN.pc.uni","19","2","10","2","0.76","0.18596722022335",NA,NA,NA,"k: 3 pc.k: "
"26","KNN.pc.uni","12","9","7","9","0.6","-0.011587244366483",NA,NA,NA,"k: 12 pc.k: "
"27","KNN.pc.uni","18","3","12","3","0.705882352941176","-0.239045721866879",NA,NA,NA,"k: 15 pc.k: "
"28","KNN.pc.uni","19","2","12","2","0.730769230769231","-0.192006144294928",NA,NA,NA,"k: 14 pc.k: "
"29","KNN.pc.uni","13","8","7","8","0.634146341463415","0.0351605423203872",NA,NA,NA,"k: 9 pc.k: "
"30","KNN.pc.uni","14","7","8","7","0.651162790697674","0",NA,NA,NA,"k: 11 pc.k: "
"31","KNN.unifrac","20","1","13","1","0.740740740740741","-0.136963567268886",NA,NA,NA,"k: 10"
