# Constructed from biom file
#OTU ID	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.00125	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.005	0.0	0.00125	0.0	0.0	0.0	0.00125	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0025	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.00875	0.00125	0.00125	0.0075	0.00125	0.00125	0.00125	0.00375	0.0025	0.00125	0.00125	0.005	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0025	0.0	0.00125	0.00375	0.0025	0.00375	0.0	0.0	0.01125	0.0	0.0025	0.0	0.0	0.00125	0.00625	0.00125	0.0	0.00875	0.00125	0.00375	0.0	0.005	0.00125	0.00125	0.0	0.0125	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.01	0.01625	0.02375	0.02125	0.02375	0.05375	0.015	0.02375	0.01125	0.015	0.035	0.0125	0.0	0.00125	0.0	0.01125	0.0175	0.02375	0.015	0.01875	0.02875	0.03625	0.03375	0.01	0.01375	0.01375	0.01375	0.01375	0.00625	0.0075	0.015	0.04625	0.0	0.035	0.0325	0.01875	0.01375	0.02375	0.0475	0.00625	0.01375	0.015	0.04625	0.02125	0.02	0.00625	0.0	0.00625	0.0175	0.0225	0.01875	0.015	0.065	0.01375	0.03875	0.0	0.015	0.0	0.01625	0.01375	0.02375	0.01375	0.01625	0.03875	0.02	0.01	0.01125	0.0425	0.00375	0.02875	0.04875	0.0	0.08125	0.0	0.045	0.03875	0.02125	0.01625	0.02625	0.01	0.0275	0.0275	0.03625	0.035	0.0275	0.0375	0.01	0.005	0.05875	0.015	0.02375	0.02875	0.01
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0	0.0	0.00625	0.0	0.00125	0.0	0.00125	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.00625	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.005	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.00125	0.0	0.0	0.0	0.0025	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00875	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.00375	0.0	0.015	0.0	0.00625	0.015	0.01625	0.02125	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.02	0.0125	0.01375	0.00875	0.0	0.0075	0.005	0.01625	0.00125	0.0	0.0	0.01	0.00375	0.0	0.0	0.0	0.0	0.0	0.0025	0.00125	0.01375	0.00375	0.0	0.02375	0.01875	0.00625	0.02375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.01	0.0	0.0075	0.0	0.0025	0.0025	0.00625	0.00625	0.0	0.0	0.0	0.0	0.0	0.00625	0.0	0.02125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.00125	0.0	0.0	0.0	0.00125	0.00625	0.0	0.0	0.0	0.00125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.02125	0.00625	0.0125	0.015	0.01375	0.0275	0.00625	0.00875	0.015	0.0025	0.02125	0.015	0.0	0.0	0.0	0.00375	0.00625	0.005	0.01125	0.02125	0.03375	0.04	0.02625	0.00625	0.01375	0.01625	0.0075	0.0175	0.01	0.015	0.0225	0.0075	0.0	0.0025	0.0	0.01625	0.00375	0.00625	0.01125	0.02125	0.00375	0.0125	0.00375	0.01	0.03375	0.01125	0.0	0.0	0.025	0.02125	0.00625	0.01375	0.01625	0.00875	0.00375	0.0	0.015	0.0	0.01125	0.015	0.01625	0.03125	0.0175	0.0025	0.01125	0.025	0.0	0.00375	0.00375	0.015	0.0225	0.0	0.0	0.0	0.01125	0.02375	0.0075	0.05	0.0075	0.00125	0.00625	0.005	0.005	0.00125	0.00375	0.03	0.015	0.0125	0.02375	0.01125	0.00625	0.0325	0.01125
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.405	0.68875	0.69	0.66125	0.5475	0.275	0.64875	0.5775	0.4725	0.68875	0.56875	0.59375	0.4475	0.6875	0.66625	0.58875	0.58	0.6675	0.5725	0.6375	0.4475	0.42125	0.48125	0.735	0.64	0.5525	0.5725	0.41625	0.8475	0.63375	0.52125	0.82375	0.50875	0.9175	0.91125	0.485	0.5775	0.8825	0.7375	0.45125	0.57375	0.62375	0.83	0.8525	0.79125	0.45875	0.97125	0.85875	0.85625	0.80875	0.845	0.56	0.86375	0.72125	0.87625	0.615	0.59875	0.765	0.45375	0.475	0.68375	0.58	0.53125	0.79625	0.745	0.87	0.93125	0.7025	0.76375	0.64625	0.64375	0.61	0.89	0.8525	0.56625	0.89625	0.93875	0.77625	0.87375	0.905	0.83375	0.93375	0.92	0.94125	0.94	0.88375	0.895	0.93875	0.65375	0.90875	0.94875	0.89625	0.74625
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
