# Constructed from biom file
#OTU ID	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.00125	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.00125	0.00125	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.005	0.0	0.00125	0.0	0.0	0.0	0.00125	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0025	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.00875	0.00125	0.00125	0.0075	0.00125	0.00125	0.00125	0.00375	0.0025	0.00125	0.00125	0.005	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0025	0.0	0.00125	0.00375	0.0025	0.00375	0.0	0.0	0.01125	0.0	0.0025	0.0	0.0	0.00125	0.00625	0.00125	0.0	0.00875	0.00125	0.00375	0.0	0.005	0.00125	0.00125	0.0	0.0125	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.465	0.7525	0.78375	0.7475	0.6	0.38	0.715	0.66625	0.55875	0.76125	0.65	0.63375	0.44875	0.69	0.66625	0.635	0.62875	0.73375	0.615	0.68875	0.53375	0.52125	0.57	0.7775	0.68125	0.59875	0.6325	0.48375	0.8775	0.6725	0.5875	0.91375	0.51	0.96375	0.96125	0.56375	0.6175	0.91625	0.845	0.50625	0.61375	0.7075	0.88125	0.90125	0.86625	0.5	0.97125	0.87125	0.92375	0.8775	0.9075	0.64625	0.9475	0.7575	0.94125	0.61875	0.65	0.765	0.495	0.53	0.78625	0.66	0.57625	0.8375	0.82	0.92625	0.95125	0.775	0.7725	0.7325	0.735	0.61	0.98375	0.8525	0.6825	0.96375	0.97	0.8425	0.91375	0.93375	0.87375	0.97875	0.96375	0.99125	0.97375	0.96875	0.94125	0.96375	0.74375	0.96125	0.98125	0.96	0.77
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.00375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125
k__Bacteria;p__Firmicutes;c__Bacilli	0.0	0.0025	0.0	0.00375	0.0	0.0025	0.0	0.00125	0.0025	0.0025	0.00375	0.0	0.0	0.0	0.01125	0.00125	0.0	0.00125	0.0	0.0	0.0025	0.00125	0.0	0.00375	0.0	0.0	0.0	0.0	0.01625	0.00375	0.0	0.045	0.0	0.0025	0.01	0.0	0.0025	0.00125	0.0	0.0	0.0	0.0	0.055	0.01	0.0025	0.00875	0.00125	0.0025	0.01625	0.015	0.00375	0.0125	0.00125	0.0325	0.0175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.00375	0.0	0.01	0.00125	0.0	0.005	0.0025	0.00125	0.0025	0.01125	0.0	0.00625	0.0025	0.005	0.0325	0.0025	0.0	0.0025	0.0025	0.00625	0.0	0.0	0.00375	0.01625	0.0	0.03625	0.0025	0.00125	0.0	0.00375
k__Bacteria;p__Firmicutes;c__Clostridia	0.49375	0.23	0.215	0.23875	0.3875	0.605	0.27375	0.32625	0.42125	0.21375	0.33	0.35	0.54375	0.295	0.20625	0.35125	0.36	0.24875	0.3725	0.30375	0.45	0.44875	0.415	0.05125	0.3025	0.36	0.35875	0.4975	0.06375	0.30625	0.40125	0.02125	0.4775	0.02875	0.0175	0.42	0.36375	0.03875	0.14375	0.47375	0.37875	0.28375	0.03625	0.05625	0.03625	0.33	0.025	0.09125	0.0375	0.06375	0.07375	0.09875	0.03	0.1475	0.03375	0.36375	0.33	0.22	0.47	0.4625	0.1975	0.33	0.1175	0.13	0.16875	0.04375	0.00875	0.215	0.075	0.25125	0.25625	0.27875	0.00375	0.0775	0.2975	0.01875	0.0125	0.0675	0.02625	0.0125	0.0775	0.0125	0.0225	0.005	0.01125	0.02	0.02125	0.0275	0.11375	0.0125	0.01375	0.02375	0.16625
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.00125	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.00125	0.0	0.00375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.00375	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
