	EM035.441593	EM056.T3.441716	EM044.441601	EM110.441723	EM091.441686	EM139.441611	EM076.441622	EM084.441599	EM089.441742	EM053.441738	EM071.441747	EM049.441600	EM054.441707	EM042.441674	EM173.441754	EM167.441702	EM132.441696	EM063.T3.441695	EM117.441609	EM105.441629	EM055.441603	EM116.441657	EM072.T3.441632	EM031.441732	EM131.441591	EM147.441617	EM133.441663	EM150.441648	EM032.441683	EM142.441711	EM054.T3.441749	EM114.441710	EM083.T3.441744	EM158.441731	EM064.441592	EM100.441714	EM109.441669	EMC06.441610	EM088.441638	EM134.441735	EM101.441623	EM124.441697	EM140.441608	EM058.441637	EM070.441682	EM100.T3.441627	EM060.T3.441729	EM046.441741	EM059.441715	EM052.441625	EM103.441691	EM178.441705	EM222.441725	EM056.441606	EM160.441703	EM108.441694	EM057.T3.441589	EM092.441616	EM086.T3.441746	EM086.441698	EM038.441649	EM039.441743	EM159.441719	EM074.441596	EM037.441737	EM067.441615	EMC01.441661	EM049.T3.441671	EM122.441699	EM083.441666	EM047.T3.441645	EM152.441730	EM060.441677	EM162.441728	EM061.441673	EM118.441693	EM155.441678	EM146.441718	EM098.T3.441740	EM093.441602	EMC04.441704	EM170.441651	EM093.T3.441670	EM179.441612	EM137.441680	EM036.441587	EM040.441709	EM090.441664	EMC09.441635	EM123.441687	EM141.441684	EM149.441655	EM112.441630	EMC05.441628	EMC08.441752	EM043.441739	EM102.441633	EM113.441619	EM095.441717	EMC02.441750	EM050.441672	EM125.441659	EM072.441643	EM209.441665	EM180.441692	EM096.441706	EM098.441733	EM055.T3.441626	EM095.T3.441590	EM090.T3.441662	EM169.441653	EM166.441748	EM163.441642	EM057.441605	EM094.T3.441588	EM089.T3.441624	EM077.T3.441639	EM165.441597	EM168.441668	EM053.T3.441688	EM047.441722	EM174.441652	EM182.441681	EM063.441621	EM085.441675	EM136.441650	EM138.441753	EM126.441679	EM071.T3.441734	EM069.441700	EM082.T3.441751	EM111.441634	EM073.T3.441721	EM135.441660	EM065.T3.441614	EM094.441640	EM183.441654	EM145.441690	EM144.441736	EM080.441727	EM151.441595	EM148.441631	EM034.441676	EM033.441685	EM156.441613	EM081.441618	EM066.441656	EM073.441594	EM129.441689	EM130.441701	EM082.441607	EM062.441720	EM078.441658	EM107.441620	EM066.T3.441647	EM087.441726	EMC03.441713	EM077.441646	EM068.441712	EM075.441644	EM065.441667	EM115.441641	EM079.441724	EMC07.441636	EM059.T3.441604	EM099.441708	EM106.441745	EM161.441598
EM035.441593	0.0	0.644365704274	0.570509859145	0.394173534304	0.376310372563	0.336698950512	0.476685138978	0.213997860056	0.412576387923	0.432035817737	0.469574225371	0.253856411967	0.38542228007	0.39938899648	0.405098686362	0.395504994785	0.417927205936	0.357292254581	0.386940192786	0.301047658518	0.358895027452	0.471097639987	0.552708414692	0.338793232137	0.372368149825	0.585760609844	0.301527877955	0.432075809084	0.438277688921	0.343256042304	0.316203099189	0.425473444032	0.470133560599	0.309457041348	0.329122876028	0.491504142779	0.440657102137	0.39422782506	0.506627269881	0.41210195428	0.448820873508	0.42462342371	0.527760748496	0.278655987668	0.166676617045	0.411064837908	0.284793030192	0.708815858301	0.252656639873	0.445437653863	0.384811755014	0.554407182129	0.299627995965	0.45051249622	0.406846894321	0.433760805514	0.775238302737	0.665554445834	0.462138966141	0.463441248711	0.506788596877	0.400774575832	0.474447521923	0.558721913418	0.314665176186	0.39380092189	0.292791860116	0.334822731398	0.534110590574	0.460143024691	0.609063527527	0.322198324577	0.331730229105	0.388059693527	0.359218711257	0.513305713948	0.401945963717	0.278625771919	0.320674911739	0.306245475921	0.276394087873	0.349118187454	0.400175073302	0.500844514163	0.358532644353	0.290475206253	0.430961950959	0.34788834502	0.398216720179	0.640702920598	0.513362805886	0.265821054392	0.607499742438	0.436598402417	0.400777063921	0.424937644568	0.39249477402	0.33605574393	0.5743791177	0.326711387206	0.481139029355	0.314693596196	0.456368542582	0.44639757642	0.455304090172	0.336048838153	0.308676010658	0.394471059962	0.474850375208	0.327365982824	0.346610641911	0.40044922762	0.336281359609	0.30340550235	0.268090033078	0.412682908634	0.502726963555	0.410589122217	0.30678675289	0.478469168753	0.406608757064	0.522061492998	0.498924827041	0.333128371715	0.376599244599	0.256039845947	0.321485420672	0.455570009053	0.36742619157	0.431377073816	0.509002129407	0.409007219841	0.321410940504	0.433190303085	0.311628453876	0.319968069722	0.353179792496	0.370760790115	0.475883180692	0.411997921681	0.42138449556	0.30720380797	0.375412615619	0.368216442854	0.318213271989	0.544288176707	0.619329144133	0.353613728232	0.217115864976	0.522501160806	0.555553603052	0.518535860859	0.313621371912	0.755480750278	0.567023142301	0.276055797421	0.56661977409	0.505358168309	0.405542371905	0.322433796078	0.306090475345	0.385346350585	0.331660259161	0.361521449741	0.433257492839	0.445924686659	0.654145183045	0.959469051675
EM056.T3.441716	0.644365704274	0.0	0.420853900599	0.36888286167	0.600448432929	0.7391883899	0.76044588385	0.675142961261	0.528997663628	0.735356901221	0.445238495593	0.689032584018	0.726080294923	0.669894519492	0.668889400768	0.645090879101	0.776217724249	0.57814350506	0.758223853982	0.727241203297	0.582613411269	0.625522573483	0.51149319342	0.679227667272	0.708398996045	0.867892545312	0.66446911264	0.705533978527	0.578734873601	0.623480161952	0.705642354676	0.747800228472	0.70160795947	0.613039864539	0.530086213547	0.562629602281	0.493536224788	0.580858826915	0.464156954918	0.344274203788	0.549508983412	0.634461385054	0.770693664846	0.577893029955	0.670421106216	0.58591647245	0.575096910785	0.203774864013	0.658063975859	0.361047478977	0.606956374778	0.534481577546	0.646146250123	0.289113745136	0.675307679134	0.584452140987	0.689977491559	0.299114560014	0.484378593841	0.584070520656	0.40130296624	0.674120785912	0.577954946359	0.37635108585	0.650914350847	0.70650932854	0.64906707327	0.704706570359	0.727082013515	0.710812963475	0.822617516162	0.711021626508	0.695008105014	0.575612878963	0.713710208516	0.637795716865	0.731517462355	0.692008707166	0.684104618037	0.54908699633	0.62787524719	0.643421678977	0.415854683744	0.780610441419	0.721009322644	0.618411385976	0.547113066363	0.628739339254	0.557612293294	0.780592259828	0.731654557137	0.540857664038	0.842621749365	0.575371048152	0.488852838651	0.623353499667	0.691833627205	0.597748484102	0.467521276422	0.55334199526	0.740273411651	0.600808760725	0.509927142758	0.795932113053	0.628357794951	0.673402411812	0.727141232651	0.5679175811	0.301071383477	0.677748189955	0.606618949059	0.675904306908	0.553673361366	0.641878200214	0.673395445135	0.609415946838	0.450702783715	0.670244466595	0.584044383854	0.837209142807	0.835279023501	0.781018757686	0.763725336036	0.548904276973	0.657958289325	0.709996865962	0.644154092624	0.77953624955	0.713849450878	0.766281714292	0.810208892253	0.754880231793	0.699203314262	0.78048571405	0.604063001743	0.632437298976	0.654155156378	0.61807150782	0.370569419779	0.601417944486	0.552235134233	0.694856240907	0.775516090903	0.688277649314	0.553424258266	0.531068622473	0.167172200937	0.713619199953	0.59401606339	0.659661862898	0.847331007403	0.298825586101	0.653617281061	0.673492527428	0.184367284349	0.615268410412	0.233546202639	0.276917203863	0.742221290927	0.567325289742	0.668344459366	0.768637262684	0.637692701963	0.571333214342	0.729245956779	0.60507499347	0.19595510901	0.956954123113
EM044.441601	0.570509859145	0.420853900599	0.0	0.422139985522	0.487025736679	0.684230924072	0.685042201985	0.576981044962	0.416881758273	0.65269365968	0.27850477988	0.591499167166	0.648050840859	0.420640941153	0.576085115373	0.549097429244	0.734957260002	0.584603438992	0.696178275054	0.656797640174	0.478337110933	0.639079527146	0.319151193374	0.62033548206	0.654637885081	0.804706322967	0.586906888655	0.641295323009	0.364721864787	0.607623184161	0.640176284614	0.709050759732	0.625614003296	0.63159975197	0.488763171779	0.491536591673	0.470715235403	0.536991749456	0.440579075282	0.295282673271	0.382350465704	0.569880774529	0.712081904751	0.539028932593	0.578347974057	0.447856814082	0.564079941027	0.465715656218	0.595847883765	0.312495919508	0.609134741584	0.458503358681	0.480293914804	0.330546094798	0.592048677167	0.575973324244	0.749501894232	0.328078180164	0.377638466894	0.450969193313	0.331130144396	0.600495293683	0.512661942185	0.425374479835	0.61885359533	0.619476644195	0.557377830923	0.625900922371	0.635770725321	0.634800520552	0.798700864354	0.63191167815	0.535538899889	0.515781176515	0.627737186281	0.447708267742	0.685473214298	0.58085718613	0.606877766972	0.430012149562	0.559078972307	0.591345111165	0.366654029427	0.718067229786	0.683504942654	0.552385024728	0.488984420757	0.588601944828	0.401967474529	0.753036381586	0.68513295263	0.546414241467	0.771943549046	0.407370896559	0.43675489908	0.538097728715	0.637621844555	0.609213431642	0.518144801237	0.55449243326	0.695883234078	0.596609138086	0.388432683862	0.775486650683	0.625637700045	0.621196094207	0.654130278378	0.50100861402	0.370635079263	0.61098178407	0.600288893578	0.605503364475	0.546451010149	0.570942443998	0.605060366842	0.439981177413	0.426114559405	0.611208940328	0.528418456156	0.784421762417	0.789228885508	0.744668741662	0.720584832077	0.553918402188	0.488788813505	0.675892019625	0.525774693511	0.701835332744	0.647660394421	0.684302177414	0.750049275308	0.704012677481	0.641634210027	0.723087034957	0.595450716958	0.62468461057	0.643634031356	0.536053874342	0.371919037531	0.620691134361	0.396975123197	0.635727957197	0.70406609823	0.608572648914	0.471269636443	0.456201695698	0.452596382481	0.657048405318	0.547295026827	0.552430362713	0.780022522668	0.310658912889	0.593484216508	0.636075286414	0.399803713374	0.59237461575	0.330704850102	0.358052880095	0.696107586348	0.563841382942	0.581387647674	0.71437564356	0.577492201071	0.574960617536	0.693123426877	0.604765819194	0.45154153288	0.768787806746
EM110.441723	0.394173534304	0.36888286167	0.422139985522	0.0	0.48114707816	0.486926924534	0.57287396532	0.415825516232	0.391579841822	0.540516761446	0.448058408816	0.416493490154	0.492461090042	0.541803291939	0.491563569754	0.474458832909	0.519894316558	0.436434038511	0.484759642732	0.451174333402	0.521361736493	0.524301749034	0.544626949136	0.466610381036	0.459366404012	0.663041712351	0.410321358645	0.524618120603	0.538749843445	0.455899504757	0.474255620621	0.53528380088	0.571531202539	0.444815211233	0.389193055604	0.620418758025	0.40850412722	0.502337731719	0.254333645518	0.280414571135	0.422190279429	0.518177521642	0.585191567733	0.450865692635	0.411206192788	0.593115682781	0.439339811335	0.442607285879	0.426248948422	0.266550282451	0.499226145782	0.462652856347	0.446609089453	0.214698199462	0.527323109055	0.560894364384	0.795414052174	0.387425947096	0.424399175911	0.459162658397	0.389294725392	0.489146822142	0.494690776818	0.450404987326	0.413544921745	0.476042169249	0.505739548313	0.45435011722	0.616058399042	0.555367591719	0.766301984717	0.493221907203	0.465204745275	0.434238044903	0.501792811798	0.57928450568	0.528692515885	0.457283379215	0.45371207747	0.390566198998	0.40796828154	0.453539608083	0.270116005258	0.593198198503	0.469701825743	0.421860219001	0.364818898159	0.468201297695	0.559623660964	0.699491701006	0.523728751894	0.408182222332	0.674411582443	0.59785042009	0.414935472534	0.482221148545	0.459248426445	0.444385501084	0.603503033313	0.434682980478	0.58330195865	0.394156400075	0.483133445001	0.535820858207	0.547776886271	0.451045685866	0.490936524058	0.575228523969	0.297779991615	0.461367701317	0.453655779348	0.451975601017	0.486973316554	0.387960573763	0.456804345135	0.488637587899	0.424099679649	0.496979326764	0.395937531248	0.568925952152	0.568380532801	0.550556084683	0.509103406935	0.465882376994	0.555085593708	0.433820541418	0.482732979396	0.57778781787	0.485876800911	0.536299072526	0.606127529664	0.485931837061	0.438912779676	0.499515008098	0.420976482994	0.445453527653	0.465320356183	0.464584193861	0.315777029049	0.469840345109	0.389010461969	0.453710955165	0.500410977639	0.486921104077	0.378963612157	0.616148770204	0.350097746765	0.455871634305	0.391704892391	0.475590140086	0.636349594461	0.25191756981	0.472672209899	0.799713790612	0.313358808685	0.422811577855	0.339605684994	0.25011108866	0.465814220164	0.508104722237	0.418129175955	0.488685040923	0.434511707466	0.497370127823	0.499167143841	0.521622197184	0.388384405772	0.991466195836
EM091.441686	0.376310372563	0.600448432929	0.487025736679	0.48114707816	0.0	0.454000061879	0.453845105626	0.340475703077	0.295643515179	0.397325762072	0.383954134022	0.356721726081	0.386954844777	0.404389212203	0.397249154484	0.365339676413	0.519509247663	0.348111400792	0.471446940075	0.470748804678	0.280619278608	0.481604793576	0.443155063804	0.294844075067	0.355509921911	0.625299988251	0.347909073207	0.405247695251	0.310828332206	0.336022741777	0.387112022815	0.469788344096	0.387856691826	0.373074803839	0.319112334169	0.395446976827	0.391745952261	0.246333673918	0.460287603084	0.39680777224	0.368173324396	0.420763647644	0.451724249477	0.24090182268	0.284262037245	0.336692004677	0.351079390243	0.682933740692	0.359454284714	0.494635924597	0.357642710652	0.567346080025	0.256736169473	0.474918424791	0.412790779683	0.529665615618	0.689310500806	0.554370526858	0.425597014462	0.386610492542	0.376873207822	0.280716416367	0.334479340347	0.486178154188	0.345713095294	0.390779305754	0.357163261211	0.37545635015	0.459848228692	0.372214127373	0.712393006516	0.396493810584	0.395370018801	0.423174509913	0.343454561692	0.388103649278	0.435202720786	0.375759498418	0.41628505898	0.263233569674	0.283655043461	0.385927921968	0.39059746726	0.489374827299	0.546676708914	0.258553101058	0.382627508043	0.346842242047	0.325318668993	0.640758654137	0.422918636565	0.262057187076	0.69731289024	0.348177751579	0.506294315297	0.460779128795	0.410341507276	0.368179999743	0.547704800627	0.200685615615	0.504159456147	0.318660963955	0.476082571406	0.533293875504	0.424070815281	0.386403960147	0.461336742734	0.339251166988	0.531461297271	0.327674963095	0.34615908676	0.404835612767	0.322911714766	0.33601005262	0.355940749963	0.252892810218	0.568537888681	0.37716161755	0.387478143394	0.585510151444	0.571875199977	0.529796661511	0.508795459551	0.315552039958	0.414544674123	0.475369318957	0.314459563518	0.440932298962	0.364384667877	0.480026510084	0.546655997476	0.456138866829	0.355731679521	0.472186133445	0.336208790778	0.381647148974	0.39016297486	0.277070903914	0.572460190999	0.379838309351	0.346364961933	0.362728054696	0.464015314895	0.346395499877	0.338818153068	0.42472803673	0.607713433606	0.397262292017	0.336678039714	0.483103360538	0.612648067739	0.493879342869	0.408258978702	0.627296009447	0.556164616419	0.360391874435	0.509570922634	0.497966119413	0.498998408283	0.422810663816	0.384765889451	0.466066602903	0.428237716225	0.450677235128	0.503227140486	0.352028957661	0.68657043508	0.872605764067
EM139.441611	0.336698950512	0.7391883899	0.684230924072	0.486926924534	0.454000061879	0.0	0.399395999102	0.320718064795	0.499615726505	0.473362471157	0.571623368862	0.371606897949	0.363046422273	0.534614746606	0.369732950185	0.367405170344	0.378159583375	0.403105561838	0.345219505136	0.366553850101	0.533155643634	0.510248674233	0.666102959272	0.412640074601	0.363918000257	0.490206057663	0.273741835175	0.32694307094	0.578083334528	0.336712315306	0.263925807402	0.415952868714	0.517870959287	0.238583765055	0.442774109221	0.611451414617	0.514604212055	0.535505393888	0.469835174602	0.526647314341	0.541314238114	0.547822841079	0.515175029953	0.362846944279	0.285791312955	0.60492598789	0.402905517727	0.781993788691	0.148096451715	0.578770345893	0.359163193798	0.587256242618	0.376148329702	0.583393583036	0.438349463954	0.576028183394	0.833257147356	0.786481206867	0.600604325157	0.522581229056	0.56381866417	0.412657634802	0.488857801908	0.695854162546	0.22234543347	0.375723780364	0.425154373711	0.332037332653	0.538327721661	0.502781553545	0.58547967228	0.340316604254	0.335953459455	0.418984760613	0.420042370962	0.615466048346	0.353846653671	0.32838206194	0.286038623302	0.42691782087	0.358848109778	0.27716719182	0.449085361626	0.428508166552	0.352966367385	0.324388618825	0.439323116782	0.36743350125	0.539869353029	0.692895086321	0.459196421618	0.3228150191	0.582959778721	0.616348626555	0.484941124303	0.541018302936	0.312260903259	0.371018961799	0.619378384444	0.393046168778	0.420954786739	0.257635023334	0.543036026701	0.417785117312	0.439292796055	0.36667889849	0.263035191952	0.590451037551	0.577473649329	0.312996024997	0.282262238532	0.262767959417	0.381832349616	0.356904022765	0.326105448856	0.521259720581	0.659058955937	0.318615181594	0.366873792623	0.404944346762	0.271417337536	0.465090596643	0.448169465902	0.433489722192	0.537846792776	0.201960624795	0.424014289706	0.421652762987	0.342065219759	0.300421102614	0.435525698565	0.183851023237	0.309665800517	0.317013810633	0.346178009651	0.332361170142	0.318136404997	0.388681760788	0.524191052997	0.364536162343	0.415790168956	0.179764332535	0.332329787495	0.366173049535	0.37478250496	0.714566647182	0.686192706116	0.320590402869	0.345433501684	0.489680081554	0.489845667435	0.617278688468	0.49117786144	0.846743954699	0.705101528026	0.363222871995	0.70746460572	0.583545452938	0.358359594584	0.429035395324	0.333732194729	0.176022233064	0.328729296783	0.413206326482	0.334277147247	0.461777718708	0.741410030462	0.965432098765
EM076.441622	0.476685138978	0.76044588385	0.685042201985	0.57287396532	0.453845105626	0.399395999102	0.0	0.384396157978	0.428744739521	0.287339135534	0.613178584514	0.409567919662	0.24296247832	0.558259442738	0.195872737775	0.419542374045	0.26854107626	0.519138299887	0.306925977762	0.524369975071	0.540900922551	0.575079159682	0.705233229773	0.394502299731	0.253825214374	0.248509578205	0.317079589486	0.235315990862	0.592383535781	0.430985835299	0.309490396841	0.259569873957	0.285164502905	0.417270031283	0.493224518187	0.668269753712	0.558644877125	0.515833159002	0.409196504706	0.555848227836	0.618381354106	0.522314961181	0.256780015252	0.35913494098	0.393465585868	0.651610049762	0.459642497626	0.793295800793	0.330849919198	0.618498504682	0.435323545808	0.621115953958	0.41452344774	0.622943704182	0.412521108063	0.648399889362	0.811581411298	0.771244851695	0.606449287709	0.507262381487	0.604771961046	0.261853279939	0.562067584405	0.647293325264	0.402737292825	0.256689084465	0.452934469467	0.362959315338	0.383453234232	0.254698797165	0.801117615739	0.274040777913	0.386009544359	0.400272360448	0.314610377646	0.690652896832	0.306925548067	0.446205530513	0.381429380412	0.441024413582	0.364290166115	0.286204299874	0.453441419335	0.169060936308	0.46306705228	0.374162919895	0.363874895502	0.272957422407	0.53951324247	0.648998340459	0.2874063905	0.452947151031	0.559606357619	0.605244082322	0.555525104557	0.510371846408	0.398309760418	0.577215819054	0.645166527359	0.386756501316	0.249362363535	0.477044199687	0.652430940677	0.303443803843	0.475411837963	0.33429546521	0.374240843813	0.579613967642	0.625657712236	0.229249428789	0.315510940846	0.319216749294	0.399572473744	0.397385241807	0.357431474458	0.480176284587	0.632108264604	0.259746639063	0.493188322881	0.287798346778	0.44700008392	0.30741718599	0.312546804668	0.541656581017	0.577228069103	0.389417665988	0.452017152004	0.146320090483	0.21388854951	0.218906640199	0.202603400733	0.396867554643	0.239583797529	0.233780728977	0.393620217657	0.463735207164	0.478260856097	0.378109415666	0.579178856103	0.464642291223	0.453038733904	0.401020879956	0.288487771156	0.303193282222	0.469211554169	0.677937749468	0.712887418009	0.172596180683	0.425032469311	0.345637555422	0.253208566896	0.604732248389	0.497718383011	0.880064461493	0.706283304386	0.443836447831	0.731011218305	0.599568241186	0.386735772265	0.607407557402	0.383397277434	0.383688750749	0.466051148005	0.60057093564	0.389251462902	0.323672458071	0.784219701467	0.988803358992
EM084.441599	0.213997860056	0.675142961261	0.576981044962	0.415825516232	0.340475703077	0.320718064795	0.384396157978	0.0	0.395938562808	0.35712374599	0.466311913044	0.214750490079	0.302010531925	0.417547462273	0.331752799729	0.383534738874	0.401146591661	0.377531161535	0.321069047573	0.343007359227	0.358724515639	0.487278674372	0.551620430154	0.284015100187	0.314064898739	0.520760599109	0.265319277704	0.380318694389	0.432848220965	0.322008036474	0.252550174202	0.393880945851	0.443732957298	0.314878327469	0.307283967609	0.484925990953	0.44108043129	0.394167974939	0.455190301641	0.452127046946	0.470345161019	0.403326574109	0.460009391925	0.234994557311	0.205589210691	0.403353551733	0.302715112214	0.712321956758	0.243382879197	0.468871752187	0.334228392009	0.56987863359	0.270697607417	0.45675422614	0.355579655468	0.464474771347	0.780650211577	0.682898062892	0.462578162312	0.381051969549	0.495704059142	0.332614601985	0.477678294379	0.613678009155	0.315027929408	0.362182666715	0.318162234771	0.218431794765	0.486405153086	0.443948351388	0.681708488305	0.285922528113	0.274815889928	0.417069394351	0.289056039687	0.537302638994	0.353235080755	0.270432027506	0.277004984868	0.260400842977	0.263599413164	0.296103538426	0.318554450045	0.422418879099	0.294952344082	0.25207652098	0.35766197461	0.317546542965	0.402158108027	0.67894096885	0.464275681299	0.30384242476	0.607359367352	0.42282406729	0.419078235332	0.435198692061	0.353787761548	0.428830630299	0.591827179186	0.284803837079	0.426954810413	0.307721717776	0.473983805678	0.423355266674	0.477584522694	0.320708400765	0.281461385927	0.405264993057	0.495641555108	0.284624917122	0.302765926249	0.320690083277	0.355298135068	0.252761591991	0.200378142501	0.354378127413	0.529758529868	0.358377311178	0.311819891386	0.441057741296	0.412216307843	0.459387713243	0.431380088236	0.409534465238	0.327427708076	0.312311931112	0.323193847517	0.381510625378	0.280146251698	0.359825719119	0.460742823454	0.391437470055	0.242667001386	0.356385001444	0.294540059394	0.289405632942	0.350494324963	0.267619066669	0.507940732141	0.323898122591	0.395016199949	0.317699261558	0.346344259271	0.294333768393	0.359250537703	0.554609020012	0.647250414154	0.273796933409	0.233757489071	0.443677079433	0.483448764937	0.561019899035	0.354636082881	0.757171316965	0.61145014906	0.286489039951	0.563410214929	0.534737388565	0.384248415776	0.412696635487	0.273079243204	0.37162624161	0.356624528996	0.408548198477	0.390553568536	0.367386643917	0.66813622798	0.955673172345
EM089.441742	0.412576387923	0.528997663628	0.416881758273	0.391579841822	0.295643515179	0.499615726505	0.428744739521	0.395938562808	0.0	0.337645912598	0.402573779165	0.410964078287	0.413843977547	0.458438712933	0.36527944148	0.433684207418	0.489423390759	0.460103853443	0.422882981649	0.522181059406	0.43766026945	0.597344106577	0.485354137841	0.318944882968	0.387566854461	0.548343959895	0.384571939856	0.396500794318	0.457069294387	0.466887459785	0.434477098371	0.433716535241	0.33524741048	0.482121422061	0.373633955439	0.597253094551	0.438704302888	0.40333641665	0.30929057528	0.331160524571	0.416537875961	0.486635970167	0.427098152652	0.302983390633	0.382484472068	0.533832526569	0.503477474866	0.596410088124	0.405753167441	0.403912410449	0.486854757066	0.471894293246	0.379203740289	0.367606736364	0.447074067159	0.652535438088	0.779968578639	0.484915870132	0.326929598639	0.305981675047	0.385569200099	0.331906357974	0.478608403031	0.429202205567	0.3839272048	0.373783697753	0.410460084273	0.454188233479	0.388206630707	0.334287400655	0.757624961255	0.361005007185	0.370591569109	0.441617451406	0.322670619919	0.600665500927	0.395215507166	0.4754238507	0.458563393573	0.254065220636	0.2649603017	0.387269370322	0.232210735459	0.483102595474	0.538084517659	0.278674153764	0.213347574107	0.369037529568	0.465761227152	0.716261662876	0.473400244541	0.401355062229	0.682070239307	0.485258036053	0.460609721956	0.440462487864	0.439319302622	0.499696420509	0.554222551552	0.325848603531	0.428648350524	0.427899534965	0.486598950898	0.492884088497	0.566195566354	0.376085318807	0.474472002408	0.473891900638	0.413678883394	0.351098588916	0.393203887547	0.374902239891	0.46031970229	0.332165264748	0.331458805	0.227715696617	0.487731361726	0.422557580404	0.475507602767	0.547778166544	0.58234555275	0.498538960242	0.472619632217	0.466444508666	0.524504825226	0.445102007263	0.339011632322	0.439324321718	0.385409743332	0.464796631053	0.496723604931	0.493173521479	0.360020789887	0.498518260314	0.36726337784	0.449121519192	0.540430485541	0.285136524699	0.489583919957	0.43463297412	0.320551794448	0.368192907158	0.458397110781	0.349482013838	0.400936345376	0.477219372999	0.508113879725	0.403218960219	0.382647698685	0.318678876505	0.546411521739	0.405472809276	0.457746544452	0.740105156372	0.460010698089	0.498914289292	0.442393949062	0.441692490528	0.478713199618	0.564046735335	0.374347371191	0.500404486591	0.504194965504	0.56375882322	0.481263024444	0.360470829526	0.591772569414	0.912082906275
EM053.441738	0.432035817737	0.735356901221	0.65269365968	0.540516761446	0.397325762072	0.473362471157	0.287339135534	0.35712374599	0.337645912598	0.0	0.59269819761	0.388696895729	0.251749244207	0.5370677248	0.261943916962	0.495833859233	0.300956152602	0.45135205047	0.354350536585	0.454185220888	0.487300777942	0.5847106062	0.658303306094	0.297763020195	0.247922506174	0.413010004417	0.339256051252	0.364408517404	0.514110608184	0.43761353174	0.352687612012	0.298512591853	0.279595138588	0.487780819195	0.450836137954	0.657887176932	0.501774306206	0.465657135764	0.380015334355	0.568507563496	0.560193870235	0.451688101397	0.322230541643	0.327056273968	0.407533842739	0.581518648471	0.51491364968	0.810317275229	0.418192593038	0.538061714885	0.483271950872	0.65071405228	0.434016442896	0.53794181723	0.468507237054	0.638841846732	0.826129574625	0.75457840081	0.508197148535	0.45723022094	0.611656115395	0.260679923516	0.564421526339	0.603616909833	0.375865233904	0.277759254672	0.459437598822	0.425564380642	0.362594653906	0.276401986922	0.689303864587	0.234165367866	0.324114071635	0.52057516411	0.195513739441	0.642649614949	0.342292509354	0.488483022656	0.419344808064	0.341234275968	0.280856134145	0.346835890478	0.401265836442	0.337772871471	0.539869748552	0.322328227557	0.306789256839	0.317342574572	0.514556513335	0.680990173829	0.36662848522	0.410553201021	0.667321410131	0.563470453987	0.595142609984	0.516271948144	0.416545476426	0.505137598803	0.721684602533	0.323950581975	0.354879294175	0.435250324249	0.661089654979	0.338806336233	0.595114399384	0.319817400912	0.442550263272	0.533336791986	0.611257241071	0.289748368267	0.345798015491	0.404644633623	0.481037760267	0.323410312974	0.316235423698	0.409474361255	0.663217412009	0.367811920363	0.498377149597	0.363627772601	0.509676709447	0.333797804566	0.341473348993	0.482972394937	0.511420359453	0.423799707554	0.437320916162	0.271456722753	0.23307830583	0.346937296366	0.346830775949	0.415327877953	0.22127734829	0.346868159693	0.344741129832	0.441923338701	0.542833147707	0.286777377961	0.636315131356	0.457754117573	0.518036341759	0.363996052808	0.299041706846	0.222387750191	0.50953476395	0.582031399125	0.6793814906	0.243885507751	0.418854080931	0.350782167337	0.408034068544	0.594521004795	0.484838030838	0.857694166958	0.639350929886	0.511897686083	0.668959386199	0.637582854431	0.385032470405	0.576750050797	0.34573620614	0.428285515078	0.52019029935	0.566585691628	0.450049041248	0.301010724753	0.778773360968	0.965939063211
