	USygt28.T2.418449	USygt11.M.418479	USygt15.T2.418859	USygt33.M.418638	USygt25.F.418747	USygt28.T1.418827	USygt27.M.418861	USygt28.M.418808	USygt35.T1.418610	USygt13.M.418644	USygt31.T1.418408	USygt29.T1.418673	USygt16.B1.418368	USygt25.B1.418792	USygt31.T2.418361	USygt9.B1.418824	USygt32.T1.418708	USygt30.T2.418609	USygt12.T1.418615	USygt16.T1.418527	USygt22.F.418477	USygt25.S1.418338	USygt23.T1.418854	USygt14.F.418375	USygt30.T1.418821	USygt29.T2.418768	USygt16.M.418462	USygt32.M.418562	USygt11.F.418661	F3T2pre4.418583	F4T2pre4.418418	USchp60Mom.418566	USBldAdlt6.418795	USchp33ChildB.418578	USchp11Child.418850	USchp33ChildA.418742	USBldChld2.418414	USchp18Mom.418783	USchp25Child.418345	F3T1pre4.418699	USchp33Mom.418698	USBldChld4.418528	USBldChld5.418733	USchp25Mom.418780	USchp35Child.418784	USchp4Mom.418666	USchp18Child.418782	USBldChld7.418488	USchp41Mom.418801	USchp36Mom.418718	TS164.418396	TS193.418750	TS128.418470	TS4.418810	TS185.418675	TS7.418860	TS163.418636	TS5.418546	TS195.418848	TS127.418550	TS8.418379	TS129.418618	TS110.418428	TS111.418684	TS184.418577	TS194.418607	USygt44.F.418709	USygt48.T2.418547	USygt40.M.418504	USygt50.T2.418852	USygt48.T1.418674	USygt17.T1.418600	USygt51.T2.418469	USygt49.M.418347	USygt49.B1.418842	USygt52.T2.418721	USygt49.T1.418399	USygt49.F.418818	USygt41.B1.418570	USygt51.F.418349	USygt51.M.418844	USygt38.T2.418456	USygt51.T1.418476	USygt39.T1.418416	USygt53.M.418452	USygt52.M.418736	USygt48.M.418794	USygt41.F.418802	USygt50.M.418681	USygt38.T1.418654	USygt46.T1.418865	USygt37.M.418793	USygt44.T2.418648	USygt17.T2.418720	USygt8.F.418739	USygt21.T1.418559	USygt4.M.418367	USygt11.T1.418632	USygt20.M.418572	USygt19.M.418397	USygt9.M.418560	USygt11.T2.418503	USygt21.M.418797	USygt18.T1.418786	USygt19.B1.418817	USygt9.T1.418606	USygt40.T1.418834	USygt47.T2.418762	USygt43.M.418520	USygt12.T2.418790	USygt21.T2.418484	USygt16.F.418383	USygt4.T2.418732	USygt22.T1.418770	USygt19.T1.418385	USygt10.M.418687	USygt19.T2.418432	USygt6.M.418593	USygt41.T2.418682	USygt46.M.418453	USygt42.T2.418716	USygt18.T2.418629	USygt16.T2.418435	USygt21.B1.418713	USygt53.T2.418455	USygt52.T1.418819	USygt49.T2.418670	USygt53.T1.418664	USygt25.B2.418685	USygt47.M.418401	USygt45.T2.418535	USygt39.T2.418351	USygt44.T1.418626	USygt54.T2.418497	USygt37.F.418676	USygt9.F.418438	USygt6.T2.418728	USygt40.T2.418474	USygt54.M.418445	USygt37.T1.418580	USygt34.T1.418567	USygt3.T2.418807	USygt27.F.418639	USygt54.T1.418381	USygt47.T1.418692	USygt33.T2.418787	USygt53.F.418830	USygt36.T1.418651	USygt50.T1.418743	USygt44.M.418360	USygt46.F.418450	USygt9.T2.418652	USygt32.T2.418437	USygt30.M.418398	USygt42.M.418663	USygt23.M.418612	USygt29.M.418603	USygt38.M.418740	USygt24.M.418730	USygt23.T2.418458	USygt27.T1.418441	USygt39.M.418483	USygt42.F.418628	USygt42.T1.418811	USygt37.B1.418521	USygt36.T2.418655	USygt41.M.418492	USygt35.M.418364	USygt25.T2.418341	USygt34.M.418823	USygt26.T2.418693	USygt35.T2.418689	USygt27.T2.418523	USygt33.T1.418574	USygt22.M.418388	USygt44.B1.418371	USygt24.T1.418841	USygt45.T1.418763	USygt38.F.418465	USygt25.T1.418406	USygt26.T1.418758	USygt43.T2.418799	USygt24.T2.418363	USygt43.T1.418816	TS14.418541	USygt39.F.418756	USchp3Child.418614	USygt36.M.418734	USygt25.M.418835	TS109.418691	TS13.418619	TS25.418407	TS26.418393	USchp1Mom.418814	USchp3Mom.418727	USchp1Child.418697	USygt13.F.418411	USygt14.M.418857	USygt8.T2.418755	USygt3.T1.418429	USygt12.M.418543	USygt8.T1.418829	USygt4.T1.418764	USygt7.M.418598	USygt7.T1.418622	USygt7.T2.418392	USygt6.AS.418353	USygt13.T1.418495	USygt1.T2.418785	USygt13.T2.418745	USygt1.T1.418417	USygt15.T1.418779	USygt14.T1.418853
USygt28.T2.418449	0.0	0.534195361031	0.384098248531	0.346486332306	0.364425559761	0.246514572011	0.254691638197	0.408910800405	0.332582654552	0.487974514019	0.2832177047	0.414660797046	0.371126173253	0.466541235493	0.268960022728	0.443226535053	0.329255713257	0.400671265894	0.32243323604	0.363636375745	0.653051322738	0.440298561006	0.328875705569	0.416776183258	0.339056698019	0.509469474371	0.435796462793	0.524809094566	0.461136833548	0.257820055152	0.589796094145	0.286350557513	0.320480682505	0.602607360706	0.513986070799	0.340964903582	0.541713236887	0.468119771028	0.470110927776	0.405640473887	0.328713455973	0.30888905905	0.435000104155	0.439412548588	0.461962479684	0.51684684479	0.587736122542	0.668450175027	0.715399759797	0.341314392647	0.423284491338	0.331792945491	0.40314886974	0.694022693061	0.370006087082	0.394890542618	0.432874018893	0.367509504545	0.401688647367	0.243692168746	0.356695913766	0.346760346992	0.311189186605	0.328135075788	0.48147405555	0.408523103534	0.455405887119	0.385687341199	0.34975611711	0.576524961388	0.246152983535	0.319306942041	0.394505240333	0.318821548731	0.280527093656	0.352306496362	0.278029360876	0.382035975634	0.401257591184	0.43754458314	0.36192937144	0.410134947499	0.284506105682	0.261124293134	0.584563804669	0.381084834324	0.42373309091	0.377945225766	0.370167701486	0.406871274451	0.433559118036	0.282935155244	0.356676758244	0.477718107721	0.269664020887	0.293644621511	0.321585381314	0.603027717315	0.308828789215	0.254897537416	0.284577073	0.50255222028	0.482507944914	0.312185618314	0.425097635917	0.277778404246	0.33557330521	0.43521091256	0.578480465092	0.465618767904	0.522585697839	0.304544269661	0.455054959078	0.344776106528	0.382623565596	0.476843314413	0.277769407648	0.345862166261	0.44550416811	0.692272921681	0.791897269714	0.702191417887	0.478371414685	0.454840471885	0.318790672933	0.441290530389	0.317674432325	0.545315599176	0.501647324337	0.36661077474	0.460659275632	0.347315787072	0.297872963488	0.285665736257	0.441508508671	0.396146113897	0.357209643175	0.430618143101	0.372621530038	0.348443666716	0.283888690888	0.343612176363	0.283533163573	0.366844221584	0.33109457651	0.481330997379	0.592173573434	0.57957422188	0.464112573866	0.288255385363	0.483429056059	0.397269110348	0.552515364432	0.299637360401	0.327062606638	0.285788019412	0.27838684174	0.411719731097	0.518229504715	0.310446725738	0.275180615346	0.410013944647	0.345434860868	0.291945825348	0.414299370181	0.350269308699	0.330976311149	0.358767650661	0.312399575128	0.604832446951	0.421851873928	0.31205142614	0.350063114996	0.56783221045	0.376423003265	0.434264028566	0.57170050396	0.327680652954	0.343198311834	0.297633959334	0.259150502461	0.278119802731	0.389102502873	0.347483592063	0.368816525223	0.438195715506	0.492791933163	0.351546561359	0.295945316156	0.517157346936	0.317208195577	0.315392961367	0.45891780075	0.46910358591	0.442320977104	0.426265309076	0.396040644876	0.37175295635	0.287265509026	0.300004173705	0.416843799242	0.379495732614	0.453072252907	0.555701520088	0.312958085023	0.365966414672	0.426206899338	0.298247677231	0.358200452043	0.264636231688	0.543935244962	0.436764176228	0.381553476562
USygt11.M.418479	0.534195361031	0.0	0.388309655278	0.334784825216	0.333739032079	0.496445025211	0.464418062446	0.328668880808	0.4752756212	0.136950512247	0.451503995921	0.396370294476	0.401148421203	0.166652874938	0.470707432912	0.186472983395	0.406729062949	0.319706506746	0.405992494925	0.363825419671	0.297480244067	0.288105591189	0.381573377593	0.238482773601	0.363935861073	0.33454473983	0.321088980636	0.194146386376	0.217106419607	0.467408993861	0.390634492837	0.531849568859	0.493128223716	0.314012514863	0.278784814139	0.458591888717	0.309492101377	0.450261415777	0.245149782991	0.33315261647	0.397680858562	0.379427834918	0.230582030622	0.353034603958	0.372320037262	0.307589977462	0.343928009566	0.369033986549	0.453125802757	0.330958011064	0.357200223761	0.416068665301	0.320907416781	0.444496381447	0.394772643138	0.282829019339	0.32298728292	0.518655877092	0.297034217812	0.412060891339	0.336180015981	0.355263905472	0.53047301988	0.353438657391	0.339785298723	0.315822627863	0.366065778888	0.309776685884	0.394557853614	0.288645577836	0.510111551325	0.447584726179	0.361371575688	0.525150046017	0.562560281627	0.433437020376	0.489982466509	0.536124955699	0.326181909511	0.23432195837	0.415344737468	0.362178556066	0.467597403621	0.459336633563	0.35973645586	0.311005403521	0.27832868241	0.343532570665	0.390963928493	0.367772324874	0.334244170411	0.485575700735	0.392046037931	0.314445601718	0.457101701399	0.537335356049	0.534102981547	0.238672082158	0.420560805661	0.412364942069	0.417374120237	0.160974526307	0.261381918988	0.485908610658	0.460574799423	0.452202567908	0.398574934839	0.341246349387	0.331857074782	0.197555389673	0.346938650592	0.441200818908	0.314973928752	0.422863136955	0.432186086536	0.556635234383	0.454429144194	0.37007904272	0.370551100315	0.46071991298	0.575335919557	0.403140100649	0.435877713166	0.38201158886	0.497061968632	0.309711224429	0.507505886961	0.348368462484	0.147386950748	0.443158514345	0.247184289219	0.38062094031	0.447358338607	0.451271150154	0.379722745401	0.365913143784	0.37986433782	0.28022867045	0.334606045928	0.402253101735	0.403797958874	0.43279394769	0.446315578061	0.368573889129	0.368665428951	0.292642165678	0.387313878203	0.394443001483	0.284988535665	0.441875930613	0.144360056274	0.323634064474	0.183249878381	0.542750767039	0.427917598653	0.452049058728	0.423862274764	0.334716869183	0.288626321547	0.564216574969	0.478704448183	0.345210958704	0.373272729537	0.444335212836	0.347947017346	0.397734061488	0.421940607619	0.53757999697	0.491870478084	0.334448214511	0.381925478618	0.504421521943	0.351425467019	0.322496085421	0.358360304611	0.377785599584	0.359810647618	0.535712896319	0.434444044898	0.417502184694	0.55283315797	0.596096318334	0.41482341337	0.437424262401	0.567208208325	0.324125416439	0.30165969198	0.36437884778	0.42729778729	0.248060018678	0.393862948827	0.397164481562	0.307665138388	0.277099801213	0.282902868581	0.370038862481	0.314839884801	0.320570853083	0.361453180598	0.44492433628	0.261879466589	0.320538900872	0.29675245558	0.349606222788	0.445105010375	0.417773552313	0.224549224426	0.472618125825	0.384095999013	0.493850482038	0.292632272109	0.330358171882	0.389198703435
USygt15.T2.418859	0.384098248531	0.388309655278	0.0	0.171765541949	0.164104075323	0.312915033758	0.278512910266	0.273105707698	0.313695252122	0.385218962094	0.244729710283	0.176253226932	0.269724133549	0.338067141262	0.257617155972	0.313338680313	0.265628187343	0.185725711248	0.166042439708	0.338681881853	0.557966369874	0.367472768177	0.182227939743	0.327713386942	0.24000046171	0.259513165545	0.210957230482	0.426284309017	0.352619808343	0.273387081598	0.500725261625	0.34008687554	0.315682712175	0.40356486257	0.266385029148	0.213577858993	0.408237521668	0.333875651757	0.273047625668	0.223261121768	0.146920134997	0.264974423921	0.254062087343	0.211479683988	0.301967514597	0.385952774573	0.39213110515	0.492946745255	0.575716853846	0.211913443202	0.296372801761	0.215618121641	0.201993575285	0.562833366215	0.171950193751	0.235794604405	0.267125645309	0.371176685397	0.255007167248	0.26809579857	0.210287967038	0.200665631892	0.339755865081	0.222153266822	0.335789332373	0.186620099507	0.346147639334	0.181031983217	0.232702794221	0.40041986714	0.332478968395	0.223204126608	0.300022777369	0.333861947381	0.372245051733	0.279375784468	0.326444891811	0.352826156094	0.20898063835	0.3367837165	0.162874054764	0.156281927167	0.266610612605	0.300549714195	0.476531406669	0.234474616527	0.294609464289	0.191682124725	0.174347106066	0.164462215501	0.335015052192	0.275133911876	0.141870778314	0.323561907895	0.304398479522	0.329497699951	0.339821232029	0.484104016085	0.238845695717	0.26929508072	0.288755042326	0.347312501013	0.313566416946	0.297428549631	0.426105751499	0.283189695604	0.253599533422	0.207467543627	0.473970088736	0.256585977613	0.459131019955	0.265416945976	0.353518570804	0.260473390027	0.241897018741	0.424782939516	0.253107481873	0.150445425366	0.366136818747	0.583259934666	0.701829927146	0.539686708746	0.441354886154	0.259227809264	0.286761790011	0.296075658553	0.300632333192	0.436814746363	0.379570998568	0.303422233901	0.284026432918	0.133361105126	0.330302280561	0.248850104218	0.233401340739	0.214644363193	0.336068319462	0.246857851396	0.172957487792	0.368002839723	0.19941888578	0.281228553011	0.239457934968	0.139672822423	0.13481106701	0.298728614086	0.498333527298	0.496735044463	0.249555495767	0.180686671718	0.336538637134	0.25505576192	0.397457195976	0.420201317984	0.227628044766	0.267731483447	0.281371601173	0.328831284383	0.361740201444	0.365451621014	0.309543403118	0.251091065109	0.222139342736	0.226076253602	0.346692508788	0.23979471334	0.260398192067	0.38082033164	0.268002658176	0.468175376532	0.267627877408	0.337218112787	0.247741651321	0.424936271707	0.175499124941	0.399406375645	0.478395544025	0.360458627245	0.249074262874	0.268220881682	0.337428562436	0.383981377473	0.264523542552	0.251560385978	0.370812179321	0.202418661112	0.380839243736	0.192533930227	0.280546945792	0.344787518772	0.175315918657	0.258965459385	0.390523467079	0.282300780374	0.308015283997	0.195617682543	0.204971638449	0.324726199639	0.257858198338	0.244950526847	0.277963617885	0.267505723007	0.281183128196	0.459110034174	0.287022516048	0.19749376398	0.340638554793	0.25919755977	0.203510436163	0.30326286457	0.404169765617	0.23690127531	0.308048413117
USygt33.M.418638	0.346486332306	0.334784825216	0.171765541949	0.0	0.138795448049	0.286487453365	0.232356206174	0.223406627097	0.283395932254	0.313545763598	0.238400744004	0.202808941985	0.218123343472	0.28424358436	0.25220330682	0.253025422839	0.243301437126	0.181125037999	0.19881561234	0.26977764053	0.496538913496	0.301561597969	0.194659509517	0.229082239923	0.205802821533	0.283264801421	0.188249352056	0.361745759409	0.294106455841	0.234764294212	0.460535804394	0.325812290275	0.281621644271	0.390278966858	0.287759458388	0.258973505633	0.36532653796	0.31256868288	0.246896244917	0.195977672652	0.179183596828	0.196299414031	0.215051642304	0.195328451365	0.250056546604	0.346278844089	0.371388876766	0.46659395678	0.538031264447	0.143726897297	0.250331929772	0.195786689346	0.186142850917	0.530015548584	0.210514659126	0.163946356123	0.229943393423	0.354239852918	0.191487727281	0.23236862875	0.160062936197	0.150604464433	0.319281714923	0.159871284245	0.284074986517	0.162047069229	0.300985665651	0.161414034183	0.200393734661	0.366375530527	0.311259261443	0.232277405143	0.2593083553	0.317207761002	0.367929436201	0.277486300979	0.29568493604	0.345435738101	0.157927482624	0.269712196992	0.209374721085	0.163897179953	0.254249986831	0.279914115101	0.437850888175	0.173686512092	0.246330827844	0.158751827718	0.207051854695	0.180203083859	0.270208154757	0.252446514745	0.176384731838	0.322387103546	0.247862627976	0.32364877537	0.330886280603	0.442428550512	0.216465199378	0.228137616685	0.233907202618	0.30674077829	0.263046201384	0.297050771392	0.374245328858	0.243601867495	0.227668464345	0.229825687982	0.43740166758	0.261245667152	0.40832448138	0.233864418051	0.290949339817	0.231671520043	0.276117818071	0.412746035898	0.253320590448	0.162683946628	0.316870352592	0.536161678732	0.656722412114	0.502631784931	0.400014627896	0.223509426071	0.282095289654	0.225293532798	0.294159566755	0.384128494938	0.32998051782	0.252119715212	0.223591735158	0.179952841695	0.294589363973	0.226330991404	0.232817343916	0.183708954019	0.268668909712	0.232730618289	0.135608206334	0.290526122749	0.167033210308	0.248183111895	0.227369720175	0.167286767714	0.15162431409	0.275600197013	0.448587780352	0.454108583234	0.246425900319	0.228118483765	0.274768360438	0.21252348655	0.360827110524	0.394551121086	0.215596625974	0.235383489651	0.262330604825	0.281079798539	0.309799311196	0.358358117525	0.285744293395	0.203496608861	0.148999882944	0.213338772216	0.290890260976	0.226176930374	0.241132652533	0.378968053031	0.295762704395	0.422690933943	0.226839228339	0.323846794842	0.190454181322	0.368756881694	0.159220752383	0.351413128302	0.417301992368	0.354310196101	0.211414687922	0.241587745544	0.34439348523	0.358061439219	0.23551179354	0.237792376929	0.365293441486	0.183302299727	0.34290301974	0.191289048297	0.262670261921	0.290931222088	0.172456391994	0.185388347896	0.318049400746	0.255901520038	0.27403536859	0.206218276349	0.165157996688	0.262919264979	0.197199832021	0.23036434175	0.223386469031	0.221727398223	0.23468375789	0.41442241761	0.249630260689	0.225254307061	0.292578415774	0.251213830508	0.182434343565	0.280885105432	0.351903306304	0.226125712032	0.272063866827
USygt25.F.418747	0.364425559761	0.333739032079	0.164104075323	0.138795448049	0.0	0.304132497221	0.274793353361	0.217823482342	0.310523904321	0.310280773233	0.24368169005	0.180315185852	0.231937891077	0.275124047313	0.257221680303	0.259986088311	0.272352271403	0.163776715776	0.176855237578	0.296683053884	0.517513372619	0.298841441453	0.208168107945	0.256542259431	0.232211356525	0.259327748495	0.156857977193	0.368057107365	0.284894727459	0.267855825127	0.460974886809	0.336964395775	0.302574666227	0.367256548473	0.262189544634	0.238462346968	0.381462700364	0.349310232089	0.247881209817	0.174457542972	0.170763381407	0.224813474133	0.205432743277	0.174141568671	0.254631297732	0.35153839135	0.361777317134	0.451782016487	0.546637220151	0.152153843291	0.238780939834	0.22886570496	0.161426835128	0.538435737246	0.206614235822	0.174843134643	0.233747168778	0.369788027931	0.210100363212	0.26189809596	0.155747405681	0.169012192038	0.339305802573	0.19597607212	0.286003959093	0.145152979883	0.316050390714	0.131684184185	0.209784788958	0.373508713229	0.333374987269	0.238018797849	0.253648145464	0.331487353343	0.375108201704	0.284245835555	0.3247815997	0.350070836207	0.147089153373	0.275829161643	0.174150341518	0.125809521813	0.258632005942	0.30889093648	0.445250306909	0.176059855185	0.247107892876	0.15805651483	0.198148144567	0.13243449653	0.280512831794	0.28316264688	0.151992407155	0.285174554621	0.288309360176	0.336287248372	0.353102269994	0.436583642702	0.254474312924	0.253207925318	0.284814941924	0.28872678701	0.270563751995	0.319781211128	0.382794541509	0.258504001875	0.254529831056	0.189853313434	0.433049199809	0.213869122701	0.408265058269	0.258341353563	0.295979505377	0.253025047248	0.26485717075	0.430367597145	0.265197789534	0.159834397623	0.321223790728	0.541277137681	0.664810468775	0.495209010152	0.39769820872	0.215948787273	0.300239213019	0.218342038475	0.294340048828	0.376097520388	0.319838898241	0.28373606682	0.23698090891	0.177838380772	0.319073843354	0.249569950066	0.2253838375	0.197239854595	0.2776014961	0.210448890275	0.140022353266	0.336983987617	0.19737125224	0.2524756494	0.23949087947	0.140825238156	0.15314320516	0.252865286251	0.458687944061	0.440302644189	0.223861567662	0.218003089894	0.289006270869	0.193694674058	0.349166859343	0.400614278972	0.240295505475	0.261981848261	0.268303808351	0.267547023756	0.312777868678	0.364103136282	0.322222044478	0.195741665434	0.187311446631	0.234003707728	0.29967095921	0.232118207729	0.246089178039	0.401723988307	0.286015486844	0.417443715516	0.213152863691	0.34393767968	0.218069382439	0.362670023815	0.185704447092	0.336816898364	0.422569053435	0.376563570088	0.231371152071	0.270909050526	0.331054540969	0.383275737905	0.260271700487	0.247776973371	0.38210363876	0.173496410185	0.335522805654	0.212557966311	0.279584210142	0.298996496525	0.193709900359	0.214012798728	0.32528877396	0.250238310056	0.260237363235	0.199549808573	0.148709411329	0.262760119029	0.231593103749	0.248286370433	0.225909204094	0.223035224987	0.224981906591	0.417488975578	0.272811483307	0.203294646334	0.288882388851	0.267800917611	0.210215421897	0.29523709497	0.35099997956	0.191409212249	0.266282745941
USygt28.T1.418827	0.246514572011	0.496445025211	0.312915033758	0.286487453365	0.304132497221	0.0	0.213521948173	0.346984811235	0.237076584033	0.456271515102	0.17844901692	0.265228677922	0.343523002255	0.4373198972	0.168800853188	0.392361248518	0.285017041003	0.363017037446	0.233922634582	0.403331958321	0.641165631031	0.410400431452	0.252337267735	0.376928166272	0.302934014356	0.459625192281	0.370357697346	0.481240501622	0.443948816367	0.225611737339	0.521944671696	0.205578462676	0.206211288738	0.569074975222	0.477549856434	0.261910066372	0.525489139852	0.388025475481	0.420638331741	0.362273921122	0.223901177378	0.324699245954	0.394595721693	0.376931359403	0.368522449329	0.465901011585	0.543724460019	0.625953266228	0.68741747612	0.323698902273	0.366445334038	0.20722833971	0.323644797424	0.671353319648	0.247740616399	0.339934731514	0.386248646296	0.269496336743	0.344869132267	0.27051803181	0.315855283098	0.260713908356	0.181064400666	0.270792130001	0.411788720422	0.318427988515	0.430159342194	0.3155074451	0.273224081337	0.526879106994	0.196801627688	0.214432440522	0.342698088626	0.21352073497	0.191029643605	0.230905142271	0.201217907056	0.310239790236	0.313988084538	0.409790700328	0.259757796155	0.326867885205	0.227922168193	0.257168441123	0.565469026259	0.322055489897	0.353837970552	0.302521920076	0.283438410123	0.315218829809	0.401194016386	0.216831695903	0.251927517687	0.447594673325	0.222816203112	0.229334114654	0.277478171854	0.582902485881	0.22844830273	0.298845683957	0.27566089257	0.479077026187	0.44007501955	0.208023873336	0.444965990175	0.280070514928	0.341007319975	0.368561759035	0.55569273648	0.406602483417	0.533385459717	0.158576462407	0.414716519252	0.329595629959	0.322070060245	0.414688433601	0.228775584123	0.265943212694	0.42545557395	0.634123104504	0.795104333716	0.662277084776	0.482602724104	0.379342045349	0.215354852073	0.382941121774	0.211158062267	0.497789427504	0.492977166593	0.269252640199	0.384614933896	0.271205851468	0.31049893911	0.176585403432	0.42572125825	0.299116384623	0.347343693827	0.381979980929	0.279993839556	0.386220522938	0.218335839304	0.316454285809	0.181866198211	0.280683809374	0.23297226581	0.439982751165	0.592273032672	0.540209918999	0.414196922297	0.255097963408	0.438354026289	0.369417195488	0.513809884655	0.301689404036	0.194950179242	0.187094894866	0.212550445535	0.359494741014	0.456054124283	0.226044315288	0.203064985585	0.325079756796	0.277389053136	0.217994409348	0.416769919345	0.29934260355	0.199783303604	0.293376478497	0.260238204961	0.562047345783	0.345045279627	0.217989751969	0.325136063303	0.517703432202	0.290212141081	0.446489261245	0.557698806821	0.211468652814	0.277696472758	0.254117884817	0.262832597171	0.25640074398	0.325998313429	0.340378243813	0.220961511329	0.346994692766	0.461557335559	0.248715130116	0.271758156342	0.469008629156	0.21153524135	0.297993287172	0.431229620432	0.420413478402	0.445863730915	0.331471869736	0.311642035125	0.367907174198	0.288246324928	0.18918579012	0.380528169161	0.34129585834	0.398658369587	0.535253662373	0.294570247284	0.294993470528	0.420602356761	0.21032824325	0.274927656698	0.181122335205	0.524632423343	0.38240870982	0.357460592239
USygt27.M.418861	0.254691638197	0.464418062446	0.278512910266	0.232356206174	0.274793353361	0.213521948173	0.0	0.330483983417	0.238070952616	0.430096579558	0.201365207012	0.315084644284	0.295259976586	0.413740483001	0.223395383238	0.368694249823	0.26494973164	0.324338160027	0.242805263921	0.343289777584	0.599306388764	0.411564130325	0.224491374225	0.317445108998	0.309182789422	0.428380700332	0.345590339265	0.464581208098	0.419930800135	0.163534458702	0.562393325041	0.254873604515	0.212813014071	0.540410499891	0.426830811543	0.265897546936	0.500439045505	0.370519232533	0.386972866935	0.325872179591	0.226524810075	0.273884098072	0.333580416282	0.347703529424	0.338105310378	0.455964550623	0.514208542504	0.599734748449	0.656769140901	0.267081599404	0.351331868871	0.211435417189	0.324520912318	0.645824493545	0.265628203107	0.295995791288	0.371573290077	0.285279977711	0.318310437156	0.234400346372	0.283722572126	0.252425091845	0.229407739544	0.225846508673	0.386670519087	0.302495773273	0.40894769349	0.291650813104	0.248287520468	0.517499635156	0.238923123606	0.237290169605	0.34683258645	0.242277897254	0.302434610541	0.265835179394	0.249487063633	0.325351187526	0.30789408464	0.390981755243	0.254438008666	0.307343749584	0.243457982861	0.251288202595	0.542701051241	0.287660850684	0.340646679773	0.287662978674	0.271141280608	0.316193690696	0.375544034631	0.217080459921	0.247634060544	0.467551383358	0.181122946583	0.257664371505	0.240558236893	0.566318375621	0.259586384242	0.244457302321	0.200273258445	0.434630343064	0.408516919047	0.275391343043	0.416825812051	0.257505089233	0.313552417406	0.362813546312	0.545582377429	0.377197803614	0.534434172759	0.218206901427	0.390400065964	0.248481945785	0.310172289026	0.417602835829	0.231670303546	0.228750944773	0.416690849109	0.633900921535	0.759667452407	0.644234860914	0.475806021882	0.368145796023	0.219426141814	0.356349643382	0.289026411735	0.491940118687	0.45793241116	0.30274288221	0.359972294544	0.242163271877	0.273447447253	0.151125013401	0.333897477894	0.268307230127	0.312613209858	0.37876920049	0.256349588671	0.322861610176	0.212661453918	0.291321381228	0.187239853476	0.258824254538	0.237344989004	0.419965181167	0.552086730092	0.558143821334	0.406963786319	0.214705942771	0.387494497639	0.348879913772	0.484095228045	0.32564712519	0.23604963139	0.154185499878	0.211482888553	0.360673910646	0.444415785335	0.283104938344	0.241807298557	0.309652314335	0.228423432299	0.20880995044	0.363500729702	0.317997886804	0.227013809486	0.322298918758	0.273643054669	0.539355505314	0.332662395484	0.276310668885	0.285690131572	0.490751196553	0.263795020753	0.422842171889	0.508890310475	0.276127792325	0.24978267007	0.241828447498	0.256021408094	0.248445653371	0.294660573695	0.289339142743	0.310326594477	0.317187127471	0.447523735284	0.251032414909	0.273671509917	0.441351763177	0.202565106592	0.213668635408	0.392515756685	0.384368941662	0.404068553866	0.306052707713	0.287816038055	0.332241788233	0.23675253693	0.211984097851	0.350283882309	0.357558948157	0.377745892972	0.535423042342	0.248076354996	0.284053404746	0.40707256833	0.217353987512	0.248128708905	0.210151242368	0.470680670262	0.365801488462	0.355363611286
