	EM035.441593	EM056.T3.441716	EM044.441601	EM110.441723	EM091.441686	EM139.441611	EM076.441622	EM084.441599	EM089.441742	EM053.441738	EM071.441747	EM049.441600	EM054.441707	EM042.441674	EM173.441754	EM167.441702	EM132.441696	EM063.T3.441695	EM117.441609	EM105.441629	EM055.441603	EM116.441657	EM072.T3.441632	EM031.441732	EM131.441591	EM147.441617	EM133.441663	EM150.441648	EM032.441683	EM142.441711	EM054.T3.441749	EM114.441710	EM083.T3.441744	EM158.441731	EM064.441592	EM100.441714	EM109.441669	EMC06.441610	EM088.441638	EM134.441735	EM101.441623	EM124.441697	EM140.441608	EM058.441637	EM070.441682	EM100.T3.441627	EM060.T3.441729	EM046.441741	EM059.441715	EM052.441625	EM103.441691	EM178.441705	EM222.441725	EM056.441606	EM160.441703	EM108.441694	EM057.T3.441589	EM092.441616	EM086.T3.441746	EM086.441698	EM038.441649	EM039.441743	EM159.441719	EM074.441596	EM037.441737	EM067.441615	EMC01.441661	EM049.T3.441671	EM122.441699	EM083.441666	EM047.T3.441645	EM152.441730	EM060.441677	EM162.441728	EM061.441673	EM118.441693	EM155.441678	EM146.441718	EM098.T3.441740	EM093.441602	EMC04.441704	EM170.441651	EM093.T3.441670	EM179.441612	EM137.441680	EM036.441587	EM040.441709	EM090.441664	EMC09.441635	EM123.441687	EM141.441684	EM149.441655	EM112.441630	EMC05.441628	EMC08.441752	EM043.441739	EM102.441633	EM113.441619	EM095.441717	EMC02.441750	EM050.441672	EM125.441659	EM072.441643	EM209.441665	EM180.441692	EM096.441706	EM098.441733	EM055.T3.441626	EM095.T3.441590	EM090.T3.441662	EM169.441653	EM166.441748	EM163.441642	EM057.441605	EM094.T3.441588	EM089.T3.441624	EM077.T3.441639	EM165.441597	EM168.441668	EM053.T3.441688	EM047.441722	EM174.441652	EM182.441681	EM063.441621	EM085.441675	EM136.441650	EM138.441753	EM126.441679	EM071.T3.441734	EM069.441700	EM082.T3.441751	EM111.441634	EM073.T3.441721	EM135.441660	EM065.T3.441614	EM094.441640	EM183.441654	EM145.441690	EM144.441736	EM080.441727	EM151.441595	EM148.441631	EM034.441676	EM033.441685	EM156.441613	EM081.441618	EM066.441656	EM073.441594	EM129.441689	EM130.441701	EM082.441607	EM062.441720	EM078.441658	EM107.441620	EM066.T3.441647	EM087.441726	EMC03.441713	EM077.441646	EM068.441712	EM075.441644	EM065.441667	EM115.441641	EM079.441724	EMC07.441636	EM059.T3.441604	EM099.441708	EM106.441745	EM161.441598
EM035.441593	0.0	0.361498192619	0.361134735972	0.321020535672	0.397801736399	0.303049573281	0.399555871647	0.182763583789	0.296821869895	0.340636195057	0.346552866854	0.236836242402	0.312059352011	0.390202783473	0.30819633008	0.261698205894	0.454712317216	0.294894132886	0.344262894832	0.189561947444	0.3012135641	0.360195286893	0.510751572949	0.221460717558	0.27420484095	0.569587944034	0.259411076107	0.285525104733	0.43794458939	0.216453434384	0.247467156069	0.383882013269	0.399264921912	0.199575639754	0.262049621128	0.46256211765	0.312000884146	0.419415736394	0.416514898235	0.259839010403	0.322959665213	0.45699768151	0.315862407288	0.225178521213	0.141376844824	0.387987541692	0.214994808567	0.423434236827	0.200024941183	0.229739179916	0.242993426735	0.274880469932	0.218850931362	0.296694716902	0.332985643158	0.259666741533	0.739146884629	0.402152186579	0.273975701674	0.283284133547	0.358251794461	0.270829650025	0.378478871262	0.464604244774	0.224571339267	0.288565270965	0.256148443261	0.253081900143	0.414411387586	0.379787449754	0.308006746294	0.219371050201	0.323863944875	0.239058090958	0.274477817082	0.536281283968	0.324812081396	0.221155424732	0.225579526571	0.244818869019	0.248602330864	0.262809781045	0.287420102156	0.500142390497	0.366903564132	0.21962337583	0.335700076166	0.239567039805	0.409147593846	0.282639054309	0.383538868251	0.208917028832	0.442214553902	0.457657073187	0.255914594852	0.368330164622	0.213528951214	0.261601377994	0.487901145633	0.299444624206	0.389559270556	0.191601594983	0.365373381785	0.427359010328	0.324772602234	0.250019357241	0.299672440343	0.302087073443	0.268360460297	0.214875217752	0.25591312901	0.29309117111	0.272203846648	0.191329333463	0.216730511829	0.385511154453	0.261467836083	0.273656457038	0.234913598871	0.539305280224	0.423725629418	0.398078129194	0.40461107695	0.352232577187	0.291279184351	0.310434550735	0.242741929714	0.41466147129	0.286611178654	0.410079679534	0.500911853637	0.312572788838	0.253520645312	0.298113912766	0.267666990587	0.288884544778	0.285631408728	0.28584914814	0.297261289872	0.276549069131	0.248728795935	0.25119220658	0.283602625523	0.229285596522	0.249825110721	0.514847874107	0.373501889264	0.327121145903	0.149383303031	0.354644557925	0.590288480556	0.269935322001	0.246112926159	0.618199974093	0.308695005069	0.175512708207	0.328842981001	0.303447716706	0.400599733952	0.269224106665	0.282445682727	0.317172391943	0.232848206204	0.299547401691	0.366076217302	0.347354496627	0.443704220305	0.847869341993
EM056.T3.441716	0.361498192619	0.0	0.340549964074	0.254224665486	0.572134236337	0.428839234119	0.476606911044	0.398850392067	0.378685596711	0.494846562454	0.417149685553	0.460707813356	0.422231477842	0.517339496527	0.394133559979	0.370924213055	0.537902558015	0.453965693106	0.447236506642	0.418234829189	0.471178261962	0.481914865482	0.547846498687	0.410772738674	0.405547252868	0.63608388805	0.382418450948	0.386183520925	0.528631439906	0.390968900432	0.397821779027	0.45945646885	0.473869900475	0.348659067886	0.385380984656	0.539866564663	0.404256613701	0.537543513219	0.366489924528	0.268267973461	0.439007588321	0.595331355039	0.415672367354	0.413594567155	0.390196785899	0.524925308935	0.386498360281	0.242143377945	0.346706668425	0.25676635785	0.376344490325	0.347575316003	0.414946322063	0.147201389706	0.473224472583	0.370270916276	0.758821032128	0.319340130651	0.319437984904	0.346677821407	0.354950206335	0.41954435063	0.502428119699	0.446321086967	0.363362933431	0.365408546855	0.464695484938	0.446827370126	0.514827078681	0.486555305979	0.372140091761	0.363538754321	0.422245805577	0.355405141242	0.464581248315	0.648064508854	0.453318305479	0.428949587372	0.369363011116	0.396948241066	0.442301522644	0.360737543532	0.265637652121	0.561018251059	0.494478685213	0.412195527662	0.38764567804	0.415256036681	0.508537261281	0.397454459491	0.432443860403	0.404555320785	0.524644440238	0.555978496026	0.274090721653	0.50629980911	0.391227460255	0.460548158005	0.52295145154	0.478884916342	0.476536781136	0.347552756366	0.432546895485	0.527815270587	0.469956029395	0.40850358452	0.430784546768	0.452821444982	0.274676697407	0.40870705989	0.35158582464	0.4082005412	0.425773544416	0.368261467859	0.405995932933	0.521692429523	0.282187517143	0.373609013992	0.394754664612	0.630184524158	0.536058169784	0.437164715868	0.438247258325	0.477019011164	0.453787554969	0.454510117363	0.427701936679	0.485768406382	0.404183363941	0.512087345085	0.586045959577	0.425869703619	0.394369667184	0.411498184877	0.387316810261	0.435650858239	0.426762487271	0.433656446388	0.256965838119	0.402147105557	0.372867276101	0.379898621218	0.408379923482	0.400860909283	0.397825446075	0.607135051094	0.212167779847	0.43994251287	0.334970101263	0.360200303361	0.668878057013	0.269393000519	0.440022829173	0.631794294044	0.225388751505	0.348785189715	0.315725056178	0.187786026519	0.50525716878	0.454889243235	0.395340113692	0.437297423211	0.384765578211	0.418451545764	0.444680684544	0.474960811952	0.253221433295	0.881669058508
EM044.441601	0.361134735972	0.340549964074	0.0	0.399586448026	0.377077329233	0.516835406173	0.554518126835	0.405178448005	0.294625908984	0.445566176433	0.307519979952	0.35009369538	0.482200718554	0.409168732578	0.45900199894	0.430184863767	0.639848571223	0.321356835647	0.540893368067	0.425346840685	0.30843673445	0.365058768271	0.401192164218	0.434515455207	0.472358154406	0.725407374416	0.462147979473	0.460524539474	0.420584258934	0.40283780237	0.455479023562	0.569393681235	0.535251316755	0.418751654466	0.269890261399	0.415907101004	0.279998974791	0.378289486866	0.468092833538	0.335242346639	0.306923053532	0.446553307036	0.486569018982	0.34645001829	0.335281163118	0.359043218892	0.3214631898	0.389743094321	0.422300551996	0.291624261396	0.362758823336	0.285825349764	0.334537456456	0.325188875212	0.324982828448	0.310561150272	0.6210789926	0.266063750444	0.312356856595	0.312795044918	0.234623300151	0.393416657007	0.346742161155	0.317399856386	0.46249455511	0.444714492051	0.311327088608	0.379874555444	0.362836038407	0.518561723286	0.439116890265	0.399282595343	0.48069500145	0.338882097779	0.389077711105	0.49412289783	0.524929764701	0.382942828876	0.429057502423	0.27188607375	0.368137203894	0.44415581564	0.356314818718	0.665367020589	0.58509922027	0.358047859244	0.463476808988	0.409746870525	0.389378347999	0.450683131367	0.521758068144	0.290067966442	0.597195145708	0.428595094396	0.355283844732	0.360274093358	0.403988592548	0.359236267851	0.394302889846	0.320737793542	0.551500630552	0.380410087765	0.301352719966	0.631356172908	0.34197757451	0.436564992532	0.520858895824	0.304032189122	0.315141966601	0.429149817643	0.444103643535	0.456635325384	0.319500384713	0.386589622137	0.410792406591	0.337980934956	0.338332057835	0.451710391378	0.364038138084	0.723339519086	0.630493987608	0.552351721547	0.546491984588	0.345655316422	0.285943481887	0.558692085137	0.349264713063	0.569645593415	0.482304663605	0.610550802461	0.690631178945	0.521853616968	0.45805924862	0.482541841717	0.465526136344	0.459882810122	0.381745437599	0.317455052894	0.333980051752	0.368502851894	0.307400867519	0.468280229633	0.484674475673	0.378551059212	0.312214575653	0.447059858103	0.35411959392	0.517999894377	0.347894809362	0.444484838638	0.770801036762	0.306953736981	0.323419351925	0.5119826769	0.279064754436	0.374411020708	0.257415438905	0.341399005952	0.595469282505	0.317679085058	0.462090466736	0.53124425588	0.420897132244	0.358107270728	0.53860527518	0.368405299849	0.4145971348	0.732439830414
EM110.441723	0.321020535672	0.254224665486	0.399586448026	0.0	0.551062979964	0.264327472803	0.375317119277	0.342891092395	0.373594314167	0.455948715507	0.471504370126	0.404927816437	0.36007702406	0.540507166131	0.330052330759	0.360793373577	0.354384993502	0.434115251232	0.29214366133	0.361253786531	0.474662625088	0.451495545099	0.638443450233	0.370597062534	0.359314921525	0.468282090878	0.292034035764	0.328257318222	0.561637101626	0.342576803374	0.327967287232	0.301632903004	0.456069769255	0.302233883095	0.400005766859	0.624952279231	0.405461005919	0.580944879741	0.199620474514	0.272622402039	0.4357638456	0.601444519419	0.355244826576	0.391152296344	0.346873111872	0.564123290208	0.395406311876	0.315306889452	0.256870500427	0.270742117877	0.39963411679	0.353994550168	0.389492620412	0.177014638093	0.469784314915	0.397224007919	0.856910089473	0.425905281767	0.365420241374	0.386434292501	0.421948641088	0.388806211621	0.500065664363	0.536263906071	0.275009231145	0.291876928764	0.447832800856	0.402321236407	0.560993335196	0.464654845945	0.431838971266	0.355870958399	0.290663686336	0.371511525246	0.429016284244	0.697589679615	0.349871449574	0.386388280734	0.3161233264	0.357332079325	0.396870845032	0.301264534502	0.209760494828	0.39319208254	0.31959946303	0.385740961042	0.310460786347	0.386417238649	0.576928552042	0.383450935624	0.391818307333	0.382932031106	0.373464568722	0.640056213558	0.305194418055	0.516619823177	0.349018488386	0.419244191157	0.627498265581	0.44216273675	0.383039071061	0.295353392801	0.506838054814	0.340483262053	0.461492400448	0.371615596044	0.257476206524	0.482391165362	0.341670680328	0.36749792032	0.303525936359	0.304596503218	0.434198788047	0.350916760155	0.360549628894	0.524198881911	0.279632066228	0.333648678416	0.397851746601	0.431618635957	0.389850197571	0.312299949683	0.283369736179	0.507229388962	0.470890737937	0.268391799937	0.405533984211	0.344302794666	0.331119214457	0.342341227179	0.423343449718	0.261198884665	0.312776497726	0.301532402519	0.344187800492	0.373218294967	0.444910947425	0.422199320395	0.26557182411	0.374144477812	0.361058145233	0.265483042916	0.252373762074	0.362773340014	0.414060907346	0.672177140061	0.288820982258	0.285037311281	0.325364594389	0.248949495618	0.501197013519	0.286049824915	0.416019648701	0.761688477673	0.317867522759	0.344298619921	0.412267881269	0.199504229529	0.326078565944	0.474245243768	0.349197411418	0.26223708076	0.352589111191	0.44805473706	0.301264557441	0.465282750372	0.221800842974	0.976637908482
EM091.441686	0.397801736399	0.572134236337	0.377077329233	0.551062979964	0.0	0.5386492584	0.535073166851	0.363670919923	0.322385275734	0.395486385634	0.366741400284	0.326974160828	0.471320959627	0.34977319296	0.436704858844	0.445104580177	0.608028958359	0.322526895613	0.533480695408	0.430906275754	0.2554358789	0.301386491239	0.364293538962	0.353380712725	0.429437206009	0.715764467256	0.445171904059	0.46255599367	0.377255221755	0.405759942968	0.438877552349	0.586319787877	0.485501512884	0.433935214864	0.36937165714	0.384983843969	0.306226072339	0.329821830973	0.568759246971	0.445530966593	0.3742317856	0.340173128507	0.495924925729	0.316038677637	0.337728486738	0.306225436457	0.396662464661	0.614070512707	0.452495105678	0.451049371933	0.399806510207	0.425477132506	0.331613876245	0.521971252752	0.270423689758	0.411813922682	0.606271510549	0.470531961674	0.444574878143	0.430933327932	0.377882099906	0.318245219598	0.289612398475	0.335225000349	0.445231451203	0.482944291737	0.30733991351	0.337532313551	0.391370206825	0.459939823005	0.54104035514	0.444895799273	0.475048171059	0.409413905257	0.314136408843	0.386929102785	0.471144786402	0.411901826765	0.424273008152	0.282767700262	0.301811811477	0.47101464558	0.449873116568	0.642516437856	0.593224640771	0.29158257864	0.446508992836	0.367435824469	0.354782682836	0.475438997725	0.482203991509	0.320076292945	0.608090087921	0.398351911886	0.511888419703	0.305515133985	0.370285079899	0.319147783	0.389966187702	0.219226378961	0.533509699587	0.373479873911	0.377489252405	0.589636332733	0.36527391474	0.417293037542	0.501737159506	0.304658873023	0.467463568434	0.349930225548	0.429122334679	0.435430919546	0.353639380703	0.440678383979	0.366840113417	0.20289109087	0.494857344192	0.436292301327	0.441740111326	0.703286880489	0.708755976371	0.609666709853	0.599662478153	0.27846507362	0.325248247077	0.532776748403	0.376470434609	0.544836971669	0.426019853271	0.618916698854	0.664239754263	0.521955562513	0.411693465222	0.520827011443	0.463175324179	0.423963922036	0.456372503755	0.280967499109	0.518744247103	0.382272904741	0.347221483068	0.453358438425	0.496321841227	0.342708175931	0.382970311622	0.391542280895	0.5638284474	0.486965402784	0.405200357151	0.537889107951	0.757832888459	0.434657884004	0.343130823811	0.484417940399	0.486434726546	0.439898133871	0.443019944923	0.499022280404	0.63762096724	0.330440800141	0.498130969583	0.528045891737	0.425766565215	0.417418929834	0.585809883708	0.341831239319	0.651939633674	0.722765026553
EM139.441611	0.303049573281	0.428839234119	0.516835406173	0.264327472803	0.5386492584	0.0	0.359851555733	0.327131792506	0.432532460418	0.475977236055	0.494787503774	0.408278199887	0.358329571039	0.527662335446	0.310572146081	0.338240449316	0.297146285321	0.42350194052	0.241174799365	0.341630327943	0.499961756344	0.454201924529	0.675603216944	0.350521957722	0.341369845702	0.397495738288	0.231639054717	0.272250167073	0.578509417533	0.292513517392	0.289803945593	0.241920536538	0.469597280371	0.252531028368	0.422860645509	0.629613682491	0.450815394254	0.594313760251	0.274450242781	0.371820204177	0.465077053983	0.615291200655	0.33038252697	0.37346209014	0.301872731394	0.573693959417	0.385360064544	0.445695613124	0.179688719133	0.382557172254	0.338570054162	0.412174601784	0.377762049018	0.346653352776	0.453939016593	0.402621618253	0.86912896583	0.549718344447	0.412929251078	0.408273217059	0.471141078952	0.372546394761	0.505972858399	0.626221778559	0.225602562706	0.279066337683	0.437886350607	0.38036269969	0.538246490039	0.47344088303	0.394476675	0.29655184016	0.2827319237	0.345062069132	0.417889848344	0.707592848637	0.309770857009	0.34741751588	0.260588414581	0.405364928024	0.397131125311	0.230441253145	0.319922367233	0.338336460781	0.242219202831	0.363192019285	0.350899610835	0.372050044051	0.579785606677	0.349245560495	0.384667686508	0.401036204481	0.345648726114	0.654023221878	0.336400321231	0.540705852724	0.297778179112	0.420185288639	0.633843313943	0.448164672317	0.347841633398	0.258347269574	0.520915843355	0.29971269165	0.444671053068	0.360138184746	0.193742789381	0.486082023506	0.405089824128	0.318157923364	0.252706115051	0.245666390826	0.406338599017	0.348963314906	0.345953071525	0.533002568439	0.390275402992	0.271993864263	0.372141054137	0.391676592989	0.259815669822	0.263243940474	0.238121902468	0.49332941822	0.482946215847	0.157538124304	0.393201351032	0.341605600903	0.319499445057	0.242837076857	0.361607054809	0.163221171619	0.286683144046	0.234496487881	0.350607555638	0.36133635436	0.399262577937	0.407613257346	0.366394797354	0.358733068173	0.37009892199	0.185542945208	0.236568047714	0.365530977855	0.376800458146	0.710432041798	0.427196318318	0.251077683108	0.312563730346	0.295265430275	0.442045539758	0.411353988443	0.438019535411	0.781353425977	0.464028333118	0.32346462764	0.503358979276	0.373723987231	0.255663883014	0.457802589504	0.343691118997	0.134571352546	0.327174301272	0.430778568341	0.212553612219	0.468046614922	0.37146582546	0.984433020833
EM076.441622	0.399555871647	0.476606911044	0.554518126835	0.375317119277	0.535073166851	0.359851555733	0.0	0.316820813812	0.37855798125	0.272337566231	0.547861632639	0.41530739755	0.152342119011	0.585113326719	0.194912665446	0.377963316591	0.269142952596	0.520074599407	0.266981244654	0.393743474829	0.537383729451	0.514279582845	0.728573352228	0.36430178103	0.225544154403	0.299154565784	0.317157748851	0.272693930748	0.635432077884	0.388107411248	0.214985163473	0.29618665257	0.220493772395	0.355835223138	0.491491094899	0.698188867396	0.500193032448	0.652980626509	0.338342325672	0.378205518346	0.545659269986	0.659595084466	0.274689515562	0.391629910057	0.401078544386	0.640811394464	0.448125167816	0.473854686416	0.281089840233	0.41844511613	0.438255460725	0.493943025408	0.409937127892	0.398089550728	0.413176090761	0.487825212723	0.920491305443	0.576345840071	0.443612486636	0.421184112656	0.552936663302	0.313317558709	0.578363785054	0.671084182242	0.325934246874	0.270309659463	0.458839645787	0.350120453472	0.497643442635	0.225202203254	0.510262217181	0.381856304483	0.249181720912	0.400471621479	0.314644248957	0.786347039224	0.274555209585	0.439049634574	0.311495771509	0.388743684832	0.353393860254	0.295694411448	0.313884674002	0.189627215374	0.371464395684	0.370250408963	0.227932619622	0.272625278154	0.617830913373	0.426548081768	0.200058843795	0.471518893538	0.392490350518	0.693567287131	0.41875005531	0.479470299593	0.347160256078	0.463996633398	0.678570505788	0.482563703315	0.129000005647	0.348884281383	0.599822803589	0.27833748818	0.479420469484	0.315538765663	0.277753328794	0.529214939554	0.447433566279	0.274885644895	0.27295015395	0.286404722264	0.452562420825	0.424465982242	0.306230758944	0.532188320139	0.400600428871	0.28559935411	0.464671324756	0.304965357127	0.493851877453	0.304552202667	0.307859135628	0.598745151756	0.531888873054	0.310932127409	0.450139646081	0.146591727105	0.187768707771	0.419157441956	0.211926619731	0.347161148174	0.2226062733	0.263519190586	0.39660809701	0.377471544027	0.500118609429	0.418135548617	0.387114256641	0.391835655698	0.423621654998	0.287285582683	0.263447172354	0.28408234458	0.478889932709	0.740699613024	0.449645329543	0.199848763962	0.385582316974	0.252896135039	0.293700425306	0.414683913808	0.462988286161	0.833086088887	0.494674365567	0.390931931957	0.546934408206	0.399083604956	0.469269572487	0.567890515471	0.42314487545	0.339906470864	0.377868527126	0.540923005148	0.38027227052	0.333277507606	0.490131667101	1.02850801026
EM084.441599	0.182763583789	0.398850392067	0.405178448005	0.342891092395	0.363670919923	0.327131792506	0.316820813812	0.0	0.274100211268	0.287187069494	0.376136586833	0.214806957446	0.249912801493	0.426029540569	0.249777093027	0.276748622735	0.397860564483	0.348681320714	0.289982066633	0.201288539238	0.333118367353	0.368283172315	0.550329182937	0.17926874936	0.230383638983	0.490363915157	0.235785294703	0.260838359521	0.477666069544	0.240237514168	0.193691695406	0.381021898026	0.349349325109	0.213416927328	0.292571464472	0.498538665637	0.342576646732	0.451589390065	0.375743582232	0.269710811507	0.363987595337	0.481393271657	0.314574816049	0.214335953977	0.2057520914	0.424807564451	0.273285984016	0.451803901953	0.222402340446	0.272729830397	0.272540231111	0.315098611822	0.223219100973	0.323252762664	0.2850362353	0.283561107448	0.774924790009	0.429141156293	0.29512787014	0.271070228297	0.394687575381	0.205162306519	0.418840936136	0.525876215539	0.240510760635	0.298649039036	0.277630847475	0.165763806854	0.423024072336	0.336972613516	0.383032877281	0.255273296493	0.252846345388	0.275977861565	0.230658208992	0.596563994881	0.299712867792	0.242166001125	0.192193838236	0.208666309119	0.213088515126	0.250218550342	0.236398560132	0.427187106808	0.285935251413	0.191864605765	0.260263183634	0.191551959572	0.44840548234	0.312044048735	0.319847456411	0.28360368741	0.416678354874	0.479469132525	0.307669358567	0.337722931913	0.176468141685	0.286968371629	0.542848297596	0.319907574701	0.314966796781	0.192129473133	0.403153287294	0.381413962541	0.357264250154	0.224213562788	0.249379631453	0.327878702523	0.310306809375	0.169616334923	0.206854168085	0.254233353561	0.31113482209	0.239388872605	0.126687285826	0.376003935061	0.281279735364	0.23133919874	0.294051519468	0.472861053006	0.472538997909	0.39345914352	0.38863244725	0.421697409873	0.317591199561	0.290668825612	0.28035469108	0.341291654492	0.219513669211	0.392009112111	0.44778563591	0.322754288879	0.193201520363	0.289157820635	0.277436839786	0.204709260108	0.326352925515	0.235239732088	0.312911365614	0.215802638458	0.270426635816	0.262010694367	0.274371790115	0.186989060072	0.319559622216	0.574001986648	0.415630145321	0.258893678932	0.190771859189	0.337844367382	0.530964079807	0.300642702681	0.277301757813	0.655757979755	0.34981650552	0.228375411231	0.36076781006	0.321010013096	0.428907624593	0.367664425387	0.299604477013	0.319137994241	0.237226087263	0.326246274049	0.364948605131	0.275378932503	0.456519991949	0.886223081927
EM089.441742	0.296821869895	0.378685596711	0.294625908984	0.373594314167	0.322385275734	0.432532460418	0.37855798125	0.274100211268	0.0	0.251908322922	0.367511044389	0.263343251939	0.337785479743	0.430178785629	0.288544408807	0.327965992854	0.449027660078	0.345545034878	0.387836460717	0.320799199648	0.335968174657	0.384683940234	0.514341111005	0.289922842548	0.303968301451	0.554527422548	0.353911077794	0.321060545032	0.482504359449	0.31388664862	0.328250274636	0.418479500942	0.334243024644	0.334920071834	0.33250343746	0.525320140158	0.32973354946	0.433631405385	0.351561936916	0.280910791443	0.372248162869	0.469861269862	0.324795839919	0.234697654689	0.255914458977	0.441995771277	0.320196059747	0.441084328869	0.328475631036	0.274885120238	0.320408817487	0.287611098534	0.272195283736	0.332692756496	0.290519436431	0.350876786313	0.728699921211	0.341230330514	0.292227551803	0.27603382401	0.3282924541	0.226180539589	0.389314583905	0.409374349541	0.34734593706	0.327606863568	0.288702043902	0.266552532432	0.333813740042	0.310908918365	0.429348688073	0.32939569349	0.354208931784	0.294008141842	0.201432630746	0.58515042219	0.367018652326	0.342271587645	0.313518202169	0.170641247837	0.180458986218	0.327259219283	0.263438195971	0.486384031514	0.464967193744	0.201131997083	0.281950947814	0.246157700182	0.451969844663	0.382746787861	0.357207602816	0.288484666436	0.488088287506	0.494011630183	0.363581352804	0.324634427616	0.280968686694	0.301381158517	0.499074404177	0.266885711809	0.383851118931	0.267711610615	0.393511449857	0.436082599767	0.353599892386	0.262450847144	0.388326599335	0.326365109916	0.328153792827	0.256583082258	0.306703703808	0.341160310168	0.341968938111	0.332851533337	0.251246249741	0.246592481366	0.294499695554	0.31903385681	0.340974033522	0.563430785972	0.582829730756	0.436109538184	0.433282704514	0.385252312751	0.356530363244	0.413399188666	0.29794379387	0.392178419118	0.293915660876	0.506504022627	0.507379293429	0.414553365224	0.277326428604	0.362959908234	0.363070727692	0.338646210632	0.386053210749	0.238154329454	0.335677910957	0.261595370867	0.245284073348	0.308417667125	0.353623689947	0.214534020984	0.303605142995	0.517602426138	0.373372349206	0.350150391981	0.274551434264	0.319648290432	0.592440707588	0.283578109945	0.277611563135	0.642110945521	0.291797574591	0.344666370496	0.320727122925	0.322581066728	0.543667409615	0.388193590309	0.408505517279	0.413489973365	0.352055010522	0.413755187966	0.461347015367	0.239170000947	0.480417697498	0.836628332764
EM053.441738	0.340636195057	0.494846562454	0.445566176433	0.455948715507	0.395486385634	0.475977236055	0.272337566231	0.287187069494	0.251908322922	0.0	0.480530896622	0.324209918975	0.232152807713	0.526493828166	0.255134102335	0.376152960081	0.362979996	0.417044769703	0.380392275266	0.336673334062	0.426417100112	0.444848463534	0.625556167852	0.314717736954	0.258238244329	0.441979821191	0.385962548669	0.378864217847	0.537809444199	0.327417047328	0.286294415814	0.409755541454	0.246025529158	0.374655794704	0.419680085954	0.614644178968	0.420439214764	0.518458409317	0.413136814109	0.379243221407	0.446848910696	0.545114586156	0.334000448341	0.31500990463	0.317310373794	0.529407827352	0.398062502969	0.546229121655	0.382927433469	0.378123893278	0.389317042094	0.412098266778	0.353196598658	0.440107742316	0.346336290628	0.411234198557	0.807503109988	0.484166986062	0.37121477366	0.347740522128	0.47750929593	0.238400577199	0.479676578362	0.538518343406	0.385683812454	0.344122271062	0.364951297563	0.300826795795	0.383362583174	0.217873745708	0.43499725917	0.36907016806	0.333938341624	0.371681672775	0.185481519941	0.648459385245	0.353428289681	0.407976008543	0.343159770061	0.265028107692	0.212400406101	0.376249531663	0.367049774961	0.376318009871	0.491696409318	0.261464529069	0.272354858504	0.20492802431	0.537060034681	0.3985718902	0.256973686608	0.363739128677	0.492806968298	0.579837959278	0.462135960138	0.370158036571	0.317517714348	0.347684024308	0.609984284053	0.339908580304	0.285502094217	0.314559869842	0.509260349042	0.376001717334	0.425159580353	0.266732794186	0.402825717782	0.419662362402	0.419402650671	0.247985795546	0.324179114226	0.392054040571	0.409738155719	0.368807033055	0.26616555419	0.410645710719	0.401695448005	0.361089036493	0.401677816952	0.411984816657	0.608440968809	0.436111498583	0.419197619583	0.477264584044	0.421695109543	0.41944418629	0.350764054061	0.269213197317	0.231068970883	0.539798738603	0.391162855632	0.453306202235	0.261294787928	0.393916893897	0.410849988367	0.348818630786	0.451172368136	0.311177070509	0.430108568233	0.324877705903	0.356250972473	0.356089273707	0.341961785457	0.201265570904	0.404361598759	0.607715978695	0.488415669175	0.308650772751	0.331571125754	0.383109941915	0.482612746605	0.374267730194	0.339426823798	0.738575919569	0.407954913428	0.394974176042	0.450183465996	0.426756497752	0.574023989831	0.467873050777	0.45970923018	0.45329957887	0.362438000053	0.479278324431	0.503426558733	0.231910741132	0.586874177694	0.906640596635
